Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
10000,1,1,15.882,200,1,1.404297e+01
10000,1,2,18.684,420,1,1.611719e+01
10000,1,3,6.251,640,1,-2.318320e+02
10000,1,4,3.135,200,1,4.945312e+00
10000,1,5,2.849,640,1,1.762344e+02
10000,1,5,5.283,640,2,2.817188e+02
10000,1,6,7.466,420,1,1.423047e+01
10000,1,7,2.318,200,1,4.968750e+00
10000,1,8,1.851,200,1,2.089844e+00
10000,1,9,4.750,640,1,-2.702383e+02
10000,1,10,4.517,640,1,-2.522383e+02
10000,1,11,5.735,640,1,-2.694727e+02
10000,1,12,3.535,860,1,-5.760039e+02
10000,1,13,5.618,420,1,1.066875e+02
10000,1,14,3.418,860,1,2.197578e+02
10000,1,15,5.034,420,1,8.624609e+01
10000,1,16,2.367,200,1,1.341797e+01
10000,1,17,2.184,640,1,2.847031e+02
10000,1,18,1.968,420,1,-2.155000e+02
10000,1,19,1.634,860,1,-5.501211e+02
10000,1,20,2.518,640,1,-3.567891e+02
10000,1,21,3.867,860,1,5.094570e+02
10000,1,22,1.668,860,1,-5.148008e+02
10000,1,23,4.118,420,1,1.218477e+02
10000,1,24,9.617,200,1,-1.953125e-02
10000,1,25,1.817,420,1,-1.439961e+02
10000,1,26,1.502,200,1,-7.480469e+00
10000,1,27,1.235,420,1,-2.172734e+02
10000,1,28,1.818,200,1,-4.714844e+00
10000,1,29,1.618,420,1,-2.152852e+02
10000,1,30,4.051,860,1,-5.503359e+02
10000,1,31,1.518,860,1,4.843008e+02
10000,1,32,2.401,860,1,-5.536914e+02
10000,1,32,4.035,860,2,5.488516e+02
10000,1,33,1.534,860,1,-4.770898e+02
10000,1,33,2.351,860,2,-6.298242e+02
10000,1,33,3.868,860,3,6.411406e+02
10000,1,34,1.201,420,1,-1.911250e+02
10000,1,35,1.934,640,1,-3.655781e+02
10000,1,36,1.451,200,1,9.089844e+00
10000,1,37,2.584,640,1,-3.748594e+02
10000,1,38,2.768,640,1,-4.121211e+02
10000,1,39,3.134,420,1,1.922266e+01
10000,1,40,3.052,860,1,4.888242e+02
10000,1,41,4.251,420,1,-1.421484e+01
10000,1,42,1.384,200,1,1.853516e+01
10000,1,43,2.068,200,1,5.621094e+00
10000,1,44,3.652,640,1,-3.207031e+02
10000,1,45,1.885,420,1,9.798047e+01
10000,1,46,2.418,640,1,2.614258e+02
10000,1,47,2.418,200,1,-1.328125e-01
10000,1,48,1.618,200,1,-3.093750e+00
10000,1,49,1.235,860,1,-5.387500e+02
10000,1,50,2.184,200,1,1.334375e+01
10000,1,51,1.351,860,1,-5.884141e+02
10000,1,52,1.452,640,1,2.513516e+02
10000,1,53,2.751,860,1,5.371797e+02
10000,1,54,1.135,200,1,-3.141406e+01
10000,1,54,1.718,200,2,8.054688e+00
10000,1,55,1.217,860,1,5.328945e+02
10000,1,56,3.285,860,1,-5.598242e+02
10000,1,57,1.634,640,1,3.674531e+02
10000,1,58,2.584,420,1,-1.158984e+01
10000,1,59,2.101,420,1,9.726562e+00
10000,1,60,1.967,640,1,2.466367e+02
1,2,1,6.146,640,1,2.282891e+02
1,2,2,2.118,200,1,-9.398438e+00
1,2,3,1.685,420,1,-1.073047e+01
1,2,4,2.268,860,1,-3.829180e+02
1,2,5,1.651,640,1,2.501172e+02
1,2,6,1.435,860,1,-4.739766e+02
1,2,7,1.767,200,1,-6.210938e-01
1,2,8,1.485,420,1,-2.351914e+02
1,2,9,1.351,860,1,-4.574531e+02
1,2,10,1.068,420,1,1.339648e+02
1,2,11,1.084,200,1,3.691406e+00
1,2,12,1.401,640,1,-3.330859e+02
1,2,13,1.035,420,1,-1.853008e+02
1,2,14,1.835,420,1,1.182500e+02
1,2,15,1.501,420,1,-1.589844e+02
1,2,16,1.734,860,1,-5.598750e+02
1,2,17,1.718,640,1,2.936211e+02
1,2,18,1.169,860,1,-4.733203e+02
1,2,19,1.101,200,1,-9.285156e+00
1,2,20,1.601,200,1,3.074219e+00
1,2,21,1.368,420,1,1.581055e+02
1,2,22,1.400,860,1,4.109023e+02
1,2,23,0.918,640,1,-3.929180e+02
1,2,24,1.384,640,1,3.486758e+02
1,2,25,2.184,860,1,-5.677305e+02
1,2,26,1.551,420,1,1.740312e+02
1,2,27,3.435,200,1,-2.301172e+01
1,2,28,3.118,200,1,-4.191406e+00
1,2,29,1.369,860,1,-6.724961e+02
1,2,30,3.618,420,1,1.796367e+02
1,2,31,0.952,640,1,-3.903477e+02
1,2,32,1.135,640,1,3.230273e+02
1,2,33,1.200,420,1,-2.481289e+02
1,2,34,1.118,640,1,-3.697188e+02
1,2,35,1.135,640,1,3.738906e+02
1,2,36,1.318,640,1,4.161016e+02
1,2,37,1.918,420,1,1.913672e+02
1,2,38,1.084,200,1,-6.824219e+00
1,2,39,1.034,200,1,5.117188e-01
1,2,40,1.151,420,1,1.406328e+02
1,2,41,1.368,200,1,2.613281e+00
1,2,42,1.068,640,1,4.055039e+02
1,2,43,1.018,420,1,-1.743672e+02
1,2,44,1.451,860,1,-4.716016e+02
1,2,45,1.435,200,1,-2.004297e+01
1,2,46,1.018,860,1,3.390195e+02
1,2,47,1.551,860,1,5.877539e+02
1,2,48,1.184,420,1,2.248945e+02
1,2,49,1.318,640,1,3.290156e+02
1,2,50,1.385,640,1,-3.960625e+02
1,2,51,1.768,200,1,-1.378125e+01
1,2,52,1.718,860,1,5.243203e+02
1,2,53,1.735,200,1,-6.457031e+00
1,2,54,1.418,200,1,-6.222656e+00
1,2,55,3.851,200,1,-8.156250e+00
1,2,56,1.768,640,1,2.821641e+02
1,2,57,1.333,860,1,-5.411016e+02
1,2,58,1.318,860,1,5.660391e+02
1,2,59,2.568,860,1,2.720234e+02
1,2,59,3.218,860,2,3.487852e+02
1,2,59,4.818,860,3,4.635430e+02
1,2,60,6.751,420,1,-6.968750e+00
