Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,1,1,1,700,8.438,182,-12,1,6,0
2,1,1,2,5.333333e+02,12.094,-222,278,-1,6,0
2,1,1,3,5.333333e+02,7.197,-115,-17,-1,3,0
2,1,1,4,200,4.131,-95,4,1,4,1
2,1,1,5,5.333333e+02,4.995,-262,-2,1,2,0
2,1,1,6,3.666667e+02,2.483,-183,-241,1,6,1
2,1,1,7,700,5.633,-344,-341,1,5,0
2,1,1,8,5.333333e+02,3.416,-157,-52,1,2,0
2,1,1,9,200,2.583,98,8,1,7,1
2,1,1,10,5.333333e+02,5.316,-158,27,-1,5,0
2,1,1,11,3.666667e+02,3.633,86,-15,1,6,1
2,1,1,12,200,2.749,41,-6,1,2,1
2,1,1,13,3.666667e+02,3.066,78,1,-1,2,0
2,1,1,14,700,4.533,181,-376,1,4,0
2,1,1,15,5.333333e+02,2.350,18,42,1,4,0
2,1,1,16,3.666667e+02,2.200,-110,2,-1,3,0
2,1,1,17,700,3.483,165,243,1,5,1
2,1,1,18,700,6.982,-258,-46,-1,2,0
2,1,1,19,200,2.599,68,2,1,2,1
2,1,1,20,200,2.283,-71,-2,1,4,1
2,1,1,21,700,3.566,-232,-281,1,2,0
2,1,1,22,700,4.166,93,478,1,4,1
2,1,1,23,3.666667e+02,4.416,100,-51,1,4,1
2,1,1,24,3.666667e+02,2.833,-82,-44,1,1,0
2,1,1,25,200,2.200,-53,1,-1,5,1
2,1,1,26,200,2.350,-15,-36,-1,4,1
2,1,1,27,200,3.416,-74,-28,1,2,1
2,1,1,28,5.333333e+02,3.416,-53,213,1,3,1
2,1,1,29,200,2.366,38,26,1,5,1
2,1,1,30,200,2.467,17,13,1,4,1
2,1,1,31,5.333333e+02,3.483,-200,167,-1,7,1
2,1,1,32,5.333333e+02,2.716,132,156,-1,2,0
2,1,1,33,3.666667e+02,4.383,107,34,1,5,1
2,1,1,34,700,3.200,168,207,-1,4,0
2,1,1,35,3.666667e+02,3.000,45,26,1,3,1
2,1,1,36,700,2.816,203,239,1,4,0
2,1,1,37,200,2.300,3,37,-1,5,1
2,1,1,38,3.666667e+02,1.900,-35,-11,-1,1,0
2,1,1,39,3.666667e+02,2.766,-23,7,1,5,1
2,1,1,40,5.333333e+02,2.433,-55,10,-1,1,0
2,1,1,41,3.666667e+02,5.149,-171,65,-1,3,0
2,1,1,42,700,2.700,180,213,-1,3,0
2,1,1,43,200,2.216,-47,4,1,6,1
2,1,1,44,700,2.633,-62,181,1,6,1
2,1,1,45,200,2.016,29,-6,1,5,1
2,1,1,46,700,2.950,-183,353,-1,4,0
2,1,1,47,700,2.183,-261,17,-1,3,0
2,1,1,48,700,2.250,25,-305,-1,6,1
2,1,1,49,3.666667e+02,3.366,-84,36,-1,7,1
2,1,1,50,5.333333e+02,3.283,203,-46,-1,3,0
2,1,1,51,3.666667e+02,2.366,62,15,-1,7,1
2,1,1,52,700,4.766,248,-288,1,5,0
2,1,1,53,5.333333e+02,3.949,-162,7,-1,2,0
2,1,1,54,5.333333e+02,3.199,14,-223,1,3,0
2,1,1,55,3.666667e+02,2.150,-22,-20,1,4,1
2,1,1,56,5.333333e+02,3.816,259,178,-1,7,1
2,1,1,57,200,2.166,-21,22,-1,4,1
2,1,1,58,200,2.433,-15,-3,-1,4,1
2,1,1,59,5.333333e+02,3.350,-30,-213,1,5,0
2,1,1,60,3.666667e+02,2.000,-120,-14,-1,3,0
2,10000,2,1,200,4.827,-69,-18,1,4,1
2,10000,2,2,3.666667e+02,2.949,52,123,1,4,1
2,10000,2,3,3.666667e+02,2.416,-44,117,-1,4,0
2,10000,2,4,200,2.199,37,-2,-1,4,1
2,10000,2,5,200,2.299,-97,8,1,4,1
2,10000,2,6,700,3.166,-29,-301,-1,4,1
2,10000,2,7,5.333333e+02,3.116,-41,313,1,4,1
2,10000,2,8,200,2.266,-74,-4,1,4,1
2,10000,2,9,200,2.033,-72,-3,1,4,1
2,10000,2,10,5.333333e+02,2.566,263,-233,-1,4,1
2,10000,2,11,3.666667e+02,2.516,119,120,-1,4,0
2,10000,2,12,700,3.199,-8,427,1,4,1
2,10000,2,13,5.333333e+02,2.749,236,257,1,4,1
2,10000,2,14,700,2.433,-328,-434,-1,4,1
2,10000,2,15,200,1.916,-65,25,1,4,1
2,10000,2,16,3.666667e+02,2.216,-178,150,-1,4,0
2,10000,2,17,3.666667e+02,3.316,102,178,1,4,1
2,10000,2,18,200,2.049,28,23,-1,4,1
2,10000,2,19,700,2.233,289,-479,1,4,0
2,10000,2,20,700,2.366,-250,-484,-1,4,1
2,10000,2,21,5.333333e+02,2.466,-66,149,1,4,1
2,10000,2,22,5.333333e+02,2.633,254,333,1,4,1
2,10000,2,23,3.666667e+02,2.050,-55,-165,-1,4,1
2,10000,2,24,3.666667e+02,2.150,183,-38,-1,4,1
2,10000,2,25,200,1.900,-44,7,1,4,1
2,10000,2,26,200,1.816,-90,16,1,4,1
2,10000,2,27,700,2.950,-338,-420,1,4,0
2,10000,2,28,700,2.650,243,-358,1,4,0
2,10000,2,29,5.333333e+02,2.266,115,-101,1,4,0
2,10000,2,30,3.666667e+02,2.550,-9,136,-1,4,0
2,10000,2,31,5.333333e+02,2.016,-152,-299,1,4,0
2,10000,2,32,200,2.733,52,21,1,4,1
2,10000,2,33,5.333333e+02,2.183,-204,268,1,4,1
2,10000,2,34,200,2.233,76,15,1,4,1
2,10000,2,35,5.333333e+02,2.083,175,-223,1,4,0
2,10000,2,36,3.666667e+02,2.250,159,-103,-1,4,1
2,10000,2,37,200,2.000,-36,-17,-1,4,1
2,10000,2,38,5.333333e+02,2.116,-132,-377,1,4,0
2,10000,2,39,5.333333e+02,2.216,-50,192,-1,4,0
2,10000,2,40,5.333333e+02,2.083,-129,298,-1,4,0
2,10000,2,41,5.333333e+02,2.100,115,-284,-1,4,1
2,10000,2,42,200,2.000,-77,6,1,4,1
2,10000,2,43,700,1.966,318,475,1,4,1
2,10000,2,44,3.666667e+02,2.333,33,-69,-1,4,1
2,10000,2,45,3.666667e+02,1.850,-44,-109,1,4,0
2,10000,2,46,200,2.266,-19,-2,1,4,1
2,10000,2,47,700,2.266,267,328,1,4,1
2,10000,2,48,3.666667e+02,2.316,-27,-144,-1,4,1
2,10000,2,49,700,2.117,-331,452,-1,4,0
2,10000,2,50,700,2.833,-204,399,1,4,1
2,10000,2,51,5.333333e+02,2.250,-261,85,1,4,0
2,10000,2,52,700,2.383,-96,67,-1,4,0
2,10000,2,53,700,1.766,-201,-425,-1,4,1
2,10000,2,54,3.666667e+02,2.033,-153,144,1,4,1
2,10000,2,55,700,2.066,210,-484,-1,4,1
2,10000,2,56,5.333333e+02,2.333,-154,221,1,4,1
2,10000,2,57,3.666667e+02,2.166,102,106,1,4,1
2,10000,2,58,700,2.383,-38,-399,1,4,0
2,10000,2,59,3.666667e+02,2.050,117,-224,1,4,0
2,10000,2,60,200,2.100,-83,-20,-1,4,1
