Spread,Trial,Delta,Success
10000,1,200,1
10000,2,200,1
10000,3,200,1
10000,4,200,1
10000,5,200,1
10000,6,200,1
10000,7,200,1
10000,8,200,1
10000,9,200,1
10000,10,200,1
10000,11,200,1
10000,12,200,1
10000,13,200,1
10000,14,200,1
10000,15,200,1
10000,16,420,1
10000,17,420,1
10000,18,420,1
10000,19,420,1
10000,20,420,1
10000,21,420,1
10000,22,420,1
10000,23,420,1
10000,24,420,1
10000,25,420,1
10000,26,420,1
10000,27,420,1
10000,28,420,1
10000,29,420,1
10000,30,420,1
10000,31,640,0
10000,32,640,0
10000,33,640,0
10000,34,640,0
10000,35,640,0
10000,36,640,0
10000,37,640,0
10000,38,640,0
10000,39,640,0
10000,40,640,0
10000,41,640,0
10000,42,640,0
10000,43,640,0
10000,44,640,0
10000,45,640,0
10000,46,860,0
10000,47,860,0
10000,48,860,0
10000,49,860,0
10000,50,860,0
10000,51,860,0
10000,52,860,0
10000,53,860,0
10000,54,860,0
10000,55,860,0
10000,56,860,0
10000,57,860,0
10000,58,860,0
10000,59,860,0
10000,60,860,0
1,1,200,1
1,2,200,1
1,3,200,1
1,4,200,1
1,5,200,0
1,6,200,1
1,7,200,1
1,8,200,1
1,9,200,1
1,10,200,1
1,11,200,1
1,12,200,1
1,13,200,0
1,14,200,1
1,15,200,1
1,16,420,1
1,17,420,1
1,18,420,1
1,19,420,0
1,20,420,1
1,21,420,1
1,22,420,0
1,23,420,1
1,24,420,1
1,25,420,1
1,26,420,1
1,27,420,1
1,28,420,1
1,29,420,1
1,30,420,1
1,31,640,1
1,32,640,0
1,33,640,1
1,34,640,1
1,35,640,1
1,36,640,1
1,37,640,1
1,38,640,1
1,39,640,0
1,40,640,1
1,41,640,1
1,42,640,0
1,43,640,0
1,44,640,1
1,45,640,0
1,46,860,0
1,47,860,0
1,48,860,0
1,49,860,0
1,50,860,0
1,51,860,0
1,52,860,0
1,53,860,0
1,54,860,0
1,55,860,0
1,56,860,0
1,57,860,1
1,58,860,1
1,59,860,0
1,60,860,0
