Block,Trial,Time_elapsed,Delta,click_num,Placed_x
1,1,1.662,200,1,7.750000e+00
1,2,1.131,400,1,-2.441953e+02
1,3,0.961,300,1,-5.253906e+00
1,4,1.041,300,1,2.312891e+01
1,5,0.971,300,1,-1.187891e+01
1,5,1.502,300,2,6.250000e-01
1,6,0.851,400,1,-1.062891e+01
1,7,1.301,200,1,-5.039062e-01
1,8,1.031,200,1,-1.725781e+01
1,9,0.991,400,1,-1.563281e+01
1,10,1.071,200,1,-1.250391e+01
1,11,0.901,200,1,-1.750781e+01
1,12,1.181,200,1,-7.753906e+00
1,13,0.861,300,1,-1.813281e+01
1,14,0.621,400,1,-2.750781e+01
1,15,0.871,300,1,-1.850781e+01
1,16,0.921,200,1,1.250000e+00
1,17,1.291,300,1,2.875000e+00
1,18,1.051,300,1,-6.878906e+00
1,19,0.901,200,1,1.250000e+00
1,20,0.981,200,1,-6.503906e+00
1,21,0.931,300,1,8.125000e+00
1,22,0.961,400,1,2.012891e+01
1,23,1.181,400,1,-2.644492e+02
1,24,0.931,300,1,-1.606719e+02
1,25,0.981,400,1,-3.019609e+02
1,26,1.111,400,1,-3.388477e+02
1,27,1.482,300,1,-1.878906e+00
1,28,1.382,400,1,-1.999336e+02
1,29,1.071,400,1,-3.150898e+02
1,30,1.091,200,1,-4.378906e+00
2,1,1.060,400,1,-3.039609e+02
2,2,0.951,400,1,-2.932109e+02
2,3,0.891,200,1,-8.128906e+00
2,4,0.961,200,1,-3.253906e+00
2,5,1.031,200,1,-6.289062e-01
2,6,0.741,200,1,-1.253906e+00
2,7,0.741,400,1,-2.648242e+02
2,8,0.831,300,1,-3.906250e-03
2,9,0.761,300,1,-3.901172e+01
2,9,1.252,300,2,-2.088281e+01
2,9,1.902,300,3,-3.253906e+00
2,10,0.821,400,1,-2.538242e+02
2,11,0.811,300,1,1.187500e+01
2,12,0.891,200,1,-6.289062e-01
2,13,0.921,200,1,9.250000e+00
2,14,1.011,300,1,-1.556719e+02
2,15,0.882,400,1,-2.819570e+02
2,16,1.281,400,1,-3.268438e+02
2,17,1.041,200,1,6.250000e-01
2,18,1.252,400,1,-3.155898e+02
2,19,0.921,300,1,-3.128906e+00
2,20,1.241,300,1,1.437891e+01
2,21,1.292,400,1,-2.953359e+02
2,22,0.951,200,1,4.625000e+00
2,23,1.201,300,1,-4.628906e+00
2,24,0.901,300,1,-1.253906e+00
2,25,0.661,300,1,-3.128906e+00
2,26,0.851,400,1,-2.763281e+02
2,27,0.991,300,1,2.275391e+01
2,28,0.931,200,1,-1.125391e+01
2,29,0.991,200,1,0
2,30,0.801,400,1,-2.659492e+02
