Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,2,1,1,200,2.881,24,7.750000e+00,-1,3,1
2,2,1,2,400,1.870,-125,-2.441953e+02,1,3,0
2,2,1,3,300,1.650,137,-5.253906e+00,1,3,1
2,2,1,4,300,1.790,-108,2.312891e+01,-1,3,1
2,2,1,5,300,2.220,134,6.250000e-01,-1,3,1
2,2,1,6,400,1.590,96,-1.062891e+01,1,3,0
2,2,1,7,200,2.130,18,-5.039062e-01,-1,3,1
2,2,1,8,200,1.780,71,-1.725781e+01,1,3,1
2,2,1,9,400,1.710,-104,-1.563281e+01,-1,3,0
2,2,1,10,200,1.770,52,-1.250391e+01,1,3,1
2,2,1,11,200,1.520,8,-1.750781e+01,-1,3,1
2,2,1,12,200,1.970,-40,-7.753906e+00,1,3,1
2,2,1,13,300,1.590,-2,-1.813281e+01,1,3,1
2,2,1,14,400,1.360,-68,-2.750781e+01,1,3,0
2,2,1,15,300,1.600,-82,-1.850781e+01,1,3,1
2,2,1,16,200,1.570,54,1.250000e+00,1,3,1
2,2,1,17,300,1.960,-84,2.875000e+00,1,3,1
2,2,1,18,300,1.780,23,-6.878906e+00,1,3,1
2,2,1,19,200,1.620,-12,1.250000e+00,1,3,1
2,2,1,20,200,1.700,-62,-6.503906e+00,-1,3,1
2,2,1,21,300,1.620,16,8.125000e+00,1,3,1
2,2,1,22,400,1.960,-85,2.012891e+01,-1,3,0
2,2,1,23,400,1.840,94,-2.644492e+02,1,3,0
2,2,1,24,300,2.010,-80,-1.606719e+02,1,3,0
2,2,1,25,400,1.660,65,-3.019609e+02,-1,3,1
2,2,1,26,400,1.850,-31,-3.388477e+02,-1,3,1
2,2,1,27,300,2.200,142,-1.878906e+00,1,3,1
2,2,1,28,400,2.210,139,-1.999336e+02,-1,3,1
2,2,1,29,400,1.900,-156,-3.150898e+02,1,3,0
2,2,1,30,200,1.840,-46,-4.378906e+00,-1,3,1
2,2,2,1,400,1.839,90,-3.039609e+02,-1,3,1
2,2,2,2,400,1.740,-168,-2.932109e+02,1,3,0
2,2,2,3,200,1.620,26,-8.128906e+00,-1,3,1
2,2,2,4,200,1.660,54,-3.253906e+00,1,3,1
2,2,2,5,200,1.800,-11,-6.289062e-01,-1,3,1
2,2,2,6,200,1.490,63,-1.253906e+00,1,3,1
2,2,2,7,400,1.490,19,-2.648242e+02,1,3,0
2,2,2,8,300,1.550,111,-3.906250e-03,1,3,1
2,2,2,9,300,2.651,-113,-3.253906e+00,-1,3,1
2,2,2,10,400,1.650,-137,-2.538242e+02,1,3,0
2,2,2,11,300,1.850,-30,1.187500e+01,1,3,1
2,2,2,12,200,1.640,-81,-6.289062e-01,1,3,1
2,2,2,13,200,1.690,-67,9.250000e+00,-1,3,1
2,2,2,14,300,1.740,77,-1.556719e+02,1,3,0
2,2,2,15,400,1.640,165,-2.819570e+02,1,3,0
2,2,2,16,400,2.100,-136,-3.268438e+02,-1,3,1
2,2,2,17,200,1.840,56,6.250000e-01,1,3,1
2,2,2,18,400,2.080,0,-3.155898e+02,1,3,0
2,2,2,19,300,1.670,34,-3.128906e+00,-1,3,1
2,2,2,20,300,1.910,37,1.437891e+01,1,3,1
2,2,2,21,400,2.110,196,-2.953359e+02,1,3,0
2,2,2,22,200,1.560,-86,4.625000e+00,-1,3,1
2,2,2,23,300,1.990,-92,-4.628906e+00,-1,3,1
2,2,2,24,300,1.640,-22,-1.253906e+00,-1,3,1
2,2,2,25,300,1.460,75,-3.128906e+00,1,3,1
2,2,2,26,400,1.590,54,-2.763281e+02,-1,3,1
2,2,2,27,300,1.740,12,2.275391e+01,-1,3,1
2,2,2,28,200,1.690,-93,-1.125391e+01,1,3,1
2,2,2,29,200,1.760,86,0,1,3,1
2,2,2,30,400,1.750,-188,-2.659492e+02,-1,3,1
