Trial,Delta,Success
1,200,1
2,200,1
3,200,1
4,200,1
5,200,1
6,200,1
7,200,1
8,200,1
9,200,1
10,200,1
11,300,1
12,300,1
13,300,1
14,300,1
15,300,1
16,300,1
17,300,1
18,300,0
19,300,1
20,300,1
21,400,1
22,400,1
23,400,1
24,400,1
25,400,1
26,400,1
27,400,1
28,400,1
29,400,1
30,400,1
31,500,0
32,500,0
33,500,0
34,500,0
35,500,1
36,500,1
37,500,0
38,500,0
39,500,0
40,500,0
41,600,0
42,600,0
43,600,1
44,600,0
45,600,0
46,600,1
47,600,0
48,600,1
49,600,1
50,600,1
51,700,0
52,700,0
53,700,0
54,700,0
55,700,0
56,700,0
57,700,0
58,700,0
59,700,0
60,700,0
61,800,0
62,800,0
63,800,0
64,800,1
65,800,0
66,800,0
67,800,0
68,800,0
69,800,0
70,800,0
