Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
1,1,1,9.279,860,1,-7.738047e+02
1,1,2,4.167,640,1,-5.544297e+02
1,1,3,1.751,640,1,5.617031e+02
1,1,4,1.501,200,1,-1.568086e+02
1,1,5,2.168,640,1,5.650664e+02
1,1,6,1.685,420,1,-1.706680e+02
1,1,7,2.535,860,1,7.903555e+02
1,1,8,1.551,640,1,-4.686680e+02
1,1,9,1.834,200,1,7.375000e+00
1,1,10,3.051,640,1,5.981758e+02
1,1,11,1.668,420,1,-3.488750e+02
1,1,12,1.518,200,1,-1.096836e+02
1,1,13,1.701,420,1,-3.203906e+02
1,1,14,2.001,860,1,7.698164e+02
1,1,15,1.551,640,1,5.893164e+02
1,1,16,1.618,420,1,-2.548828e+01
1,1,17,1.768,860,1,-7.632500e+02
1,1,18,1.984,860,1,-7.205820e+02
1,1,19,1.551,200,1,5.468750e+00
1,1,20,1.618,200,1,7.621094e+00
1,1,21,2.651,860,1,-7.538047e+02
1,1,22,2.168,860,1,7.509727e+02
1,1,23,1.834,420,1,-2.276250e+02
1,1,24,1.751,420,1,-4.969531e+01
1,1,25,1.418,200,1,-3.347656e+00
1,1,26,1.868,200,1,-5.167969e+00
1,1,27,1.235,200,1,1.184375e+01
1,1,28,1.635,640,1,-5.493906e+02
1,1,29,1.118,200,1,-1.875000e+00
1,1,30,1.251,200,1,1.734375e+00
1,1,31,1.535,640,1,5.441758e+02
1,1,32,1.351,640,1,-5.371250e+02
1,1,33,1.301,420,1,-2.635430e+02
1,1,34,1.718,860,1,-7.809023e+02
1,1,35,1.351,420,1,-7.153125e+01
1,1,36,1.235,860,1,6.488281e+02
1,1,37,0.934,200,1,-9.683594e+00
1,1,38,1.768,420,1,3.371914e+02
1,1,39,1.451,420,1,-3.517383e+02
1,1,40,3.235,640,1,5.424961e+02
1,1,41,1.585,420,1,-3.586523e+02
1,1,42,1.634,860,1,7.415234e+02
1,1,43,1.134,200,1,4.636719e+00
1,1,44,1.051,860,1,-7.308203e+02
1,1,45,1.385,200,1,-2.240625e+01
1,1,46,1.835,860,1,5.917031e+02
1,1,47,2.168,860,1,762
1,1,48,1.285,860,1,7.897617e+02
1,1,49,1.868,420,1,-1.927773e+02
1,1,50,1.268,640,1,-5.027109e+02
1,1,51,1.368,420,1,-3.465000e+02
1,1,52,1.035,860,1,7.950938e+02
1,1,53,2.501,640,1,5.452734e+02
1,1,54,1.435,640,1,5.900508e+02
1,1,55,1.734,420,1,-1.706523e+02
1,1,56,1.518,640,1,-4.675156e+02
1,1,57,1.135,200,1,7.246094e+00
1,1,58,0.934,200,1,-3.641797e+01
1,1,59,1.151,640,1,-5.573906e+02
1,1,60,1.235,420,1,-3.104609e+02
10000,2,1,4.225,420,1,7.761719e+00
10000,2,2,2.618,640,1,-5.733047e+02
10000,2,3,2.085,860,1,7.551211e+02
10000,2,4,1.101,200,1,1.202734e+01
10000,2,5,1.035,200,1,1.188672e+01
10000,2,6,1.318,420,1,-4.042969e+00
10000,2,7,1.384,640,1,-4.796406e+02
10000,2,8,1.268,640,1,5.313984e+02
10000,2,9,1.318,200,1,-6
10000,2,10,1.151,640,1,-5.213633e+02
10000,2,11,1.384,420,1,1.713672e+01
10000,2,12,1.068,420,1,-8.292969e+00
10000,2,13,1.818,860,1,-7.443203e+02
10000,2,14,1.568,200,1,1.332031e+00
10000,2,15,2.384,640,1,3.240234e+01
10000,2,16,1.168,200,1,1.310938e+01
10000,2,17,1.384,420,1,9.414062e-01
10000,2,18,2.401,860,1,7.375000e+02
10000,2,19,1.468,640,1,-5.057383e+02
10000,2,20,1.818,860,1,7.836758e+02
10000,2,21,1.484,640,1,-5.779727e+02
10000,2,22,1.418,860,1,8.053867e+02
10000,2,23,1.284,200,1,6.914062e-01
10000,2,24,1.518,640,1,-4.344297e+02
10000,2,25,1.301,420,1,9.679688e+00
10000,2,26,1.235,860,1,-7.743047e+02
10000,2,27,1.385,860,1,-7.909688e+02
10000,2,28,1.184,200,1,1.386719e+00
10000,2,29,0.818,200,1,1.735938e+01
10000,2,30,1.635,420,1,-3.298633e+02
10000,2,31,1.335,420,1,-3.564180e+02
10000,2,32,1.184,200,1,3.468750e+00
10000,2,33,1.351,860,1,-7.745547e+02
10000,2,34,1.451,860,1,7.964531e+02
10000,2,35,1.068,200,1,-1.315625e+01
10000,2,36,1.835,640,1,4.432344e+02
10000,2,37,1.251,420,1,-9.292969e+00
10000,2,38,1.318,420,1,-1.115625e+01
10000,2,39,1.518,200,1,4.777344e+00
10000,2,40,1.401,640,1,5.418438e+02
10000,2,41,2.118,640,1,4.121094e+00
10000,2,42,1.168,200,1,-1.390625e+00
10000,2,43,1.201,420,1,-3.349023e+02
10000,2,44,1.018,200,1,1.026172e+01
10000,2,45,1.051,200,1,3.429688e+00
10000,2,46,1.001,640,1,-5.722070e+02
10000,2,47,1.401,860,1,8.086914e+02
10000,2,48,2.868,640,1,5.211641e+02
10000,2,49,1.351,420,1,-1.053125e+01
10000,2,50,1.151,420,1,-7.085938e+00
10000,2,51,1.184,860,1,-7.366406e+02
10000,2,52,1.268,860,1,7.699141e+02
10000,2,53,1.234,860,1,7.479141e+02
10000,2,54,1.201,420,1,-3.242773e+02
10000,2,55,1.701,640,1,-5.656797e+02
10000,2,56,1.418,420,1,-8.042969e+00
10000,2,57,1.185,640,1,-5.516953e+02
10000,2,58,1.218,860,1,7.853555e+02
10000,2,59,1.701,860,1,8.043555e+02
10000,2,60,1.401,200,1,2.164062e+00
