Spread,Delta,Y_or_N,Confidence,RT
1,420.000,1,1152,2.877977e+01
1,860.000,0,1440,5.266523e+00
1,640.000,0,1076,1.091627e+01
1,200.000,1,1440,3.849725e+00
1,860.000,0,1440,6.466488e+00
1,420.000,1,1166,5.699750e+00
1,200.000,1,1440,3.833245e+00
1,640.000,0,1111,9.316314e+00
10000,420.000,1,1440,4.533214e+00
10000,860.000,0,1440,3.966586e+00
10000,640.000,0,1425,3.166449e+00
10000,200.000,1,1425,2.916611e+00
10000,860.000,0,1426,3.599848e+00
10000,420.000,1,1419,3.133135e+00
10000,200.000,0,1435,3.866558e+00
10000,640.000,0,1424,4.299770e+00
