Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,1,1,1,860,3.430,-280,-743,-1,2,1
2,1,1,2,420,1.683,24,-334,-1,4,1
2,1,1,3,640,2.217,193,-541,-1,6,1
2,1,1,4,200,1.883,-55,-3,1,4,1
2,1,1,5,860,1.650,194,-763,1,2,0
2,1,1,6,200,2.017,37,10,1,8,1
2,1,1,7,200,1.800,-88,-11,-1,3,1
2,1,1,8,860,1.583,372,-785,1,2,0
2,1,1,9,420,1.850,93,-292,1,2,0
2,1,1,10,200,2.017,95,7,1,3,1
2,1,1,11,200,2.667,-23,8,1,1,0
2,1,1,12,200,2.016,44,-11,-1,4,1
2,1,1,13,640,1.833,-221,-556,-1,7,1
2,1,1,14,640,1.750,296,-515,1,4,0
2,1,1,15,200,2.633,37,1,1,6,1
2,1,1,16,640,1.833,187,-575,1,3,0
2,1,1,17,420,1.600,-122,-318,-1,5,1
2,1,1,18,860,1.950,266,-771,-1,8,1
2,1,1,19,860,2.083,-369,-820,1,5,0
2,1,1,20,640,1.817,-6,-532,-1,5,1
2,1,1,21,860,1.617,184,-784,1,4,0
2,1,1,22,860,2.083,411,-775,1,7,0
2,1,1,23,420,1.700,168,-17,1,5,1
2,1,1,24,420,1.967,193,-4,1,5,1
2,1,1,25,420,1.767,-62,-19,-1,7,1
2,1,1,26,640,1.500,-34,-549,-1,2,1
2,1,1,27,860,1.800,-389,-741,1,2,0
2,1,1,28,640,1.733,-184,-592,1,4,0
2,1,1,29,640,1.633,-94,-512,-1,6,1
2,1,1,30,860,2.617,351,-757,1,4,0
2,1,1,31,640,2.183,194,-570,-1,2,1
2,1,1,32,420,4.700,-174,-17,1,5,1
2,1,1,33,200,2.583,-98,-3,-1,7,1
2,1,1,34,640,1.650,-131,-528,1,4,0
2,1,1,35,420,2.733,45,-28,1,4,0
2,1,1,36,860,1.616,-110,-772,-1,8,1
2,1,1,37,200,1.983,58,12,-1,8,1
2,1,1,38,640,1.733,218,-558,-1,8,1
2,1,1,39,200,2.067,-6,-1,1,4,1
2,1,1,40,420,1.717,14,-322,1,2,0
2,1,1,41,200,1.933,67,1,1,4,1
2,1,1,42,420,2.417,197,-42,-1,4,1
2,1,1,43,860,1.567,-233,-771,-1,3,1
2,1,1,44,420,2.033,81,3,-1,4,1
2,1,1,45,200,2.083,-59,-3,-1,8,1
2,1,1,46,640,1.950,-156,-577,-1,5,1
2,1,1,47,420,2.600,197,-24,1,4,1
2,1,1,48,860,2.816,99,-744,1,9,0
2,1,1,49,860,1.867,-262,-741,-1,5,1
2,1,1,50,420,1.917,-74,-13,1,4,1
2,1,1,51,200,1.833,-65,9,1,3,1
2,1,1,52,860,2.367,406,-785,1,9,0
2,1,1,53,200,1.983,49,-19,1,8,1
2,1,1,54,420,2.766,21,-6,1,2,0
2,1,1,55,200,2.083,83,-15,1,6,1
2,1,1,56,860,1.983,311,-709,-1,9,1
2,1,1,57,420,2.200,-36,-17,-1,6,1
2,1,1,58,640,1.950,-197,-528,1,8,0
2,1,1,59,640,2.200,303,-27,1,5,0
2,1,1,60,640,1.800,-68,-534,-1,6,1
2,10000,2,1,200,1.932,6,-6,1,5,1
2,10000,2,2,420,2.350,-21,-34,-1,5,1
2,10000,2,3,200,2.000,-14,4,1,5,1
2,10000,2,4,640,1.517,-190,-521,1,5,0
2,10000,2,5,640,1.867,-9,-553,-1,5,1
2,10000,2,6,640,1.750,181,-516,-1,5,1
2,10000,2,7,420,2.917,156,-3,-1,5,1
2,10000,2,8,640,1.567,35,-526,1,5,0
2,10000,2,9,200,1.666,-45,7,-1,5,1
2,10000,2,10,420,3.883,61,11,-1,5,1
2,10000,2,11,200,1.850,86,-10,1,5,1
2,10000,2,12,860,1.950,14,-790,1,5,0
2,10000,2,13,420,2.333,192,-21,-1,5,1
2,10000,2,14,420,2.333,-83,-12,1,5,1
2,10000,2,15,640,1.733,-69,-490,-1,5,1
2,10000,2,16,640,2.483,-12,-551,1,5,0
2,10000,2,17,860,1.683,-152,-608,1,5,0
2,10000,2,18,420,2.250,-11,-10,-1,5,1
2,10000,2,19,640,1.617,60,-508,1,5,0
2,10000,2,20,420,1.700,70,-19,1,5,1
2,10000,2,21,200,1.683,34,-19,1,5,1
2,10000,2,22,860,1.600,77,-785,1,5,0
2,10000,2,23,420,1.950,-95,4,1,5,1
2,10000,2,24,640,1.683,145,-568,1,5,0
2,10000,2,25,420,2.866,-178,-19,1,5,1
2,10000,2,26,860,1.783,-161,-750,1,5,0
2,10000,2,27,420,2.450,73,-19,1,5,1
2,10000,2,28,640,1.617,-159,-514,-1,5,1
2,10000,2,29,420,1.717,106,-312,-1,5,1
2,10000,2,30,420,1.533,-79,-348,1,5,0
2,10000,2,31,860,1.667,-409,-714,1,5,0
2,10000,2,32,420,1.533,157,-326,1,5,0
2,10000,2,33,200,2.250,47,3,1,5,1
2,10000,2,34,640,1.650,159,-524,1,5,0
2,10000,2,35,640,2.400,196,-512,1,5,0
2,10000,2,36,860,1.750,203,-770,1,5,0
2,10000,2,37,420,2.017,69,4,-1,5,1
2,10000,2,38,200,1.733,-40,-12,1,5,1
2,10000,2,39,860,1.733,164,-783,-1,5,1
2,10000,2,40,420,2.800,-71,-27,-1,5,1
2,10000,2,41,860,1.783,-242,-804,-1,5,1
2,10000,2,42,200,1.750,-35,12,-1,5,1
2,10000,2,43,860,1.850,3,-721,-1,5,1
2,10000,2,44,860,1.750,422,-754,-1,5,1
2,10000,2,45,860,1.750,362,-772,-1,5,1
2,10000,2,46,640,2.200,-163,-540,1,5,0
2,10000,2,47,640,1.883,90,-510,-1,5,1
2,10000,2,48,200,3.300,-96,-1,-1,5,1
2,10000,2,49,200,2.316,71,3,1,5,1
2,10000,2,50,200,2.483,-46,-16,-1,5,1
2,10000,2,51,860,1.783,402,-768,1,5,0
2,10000,2,52,860,1.667,207,-779,-1,5,1
2,10000,2,53,640,2.066,219,-478,-1,5,1
2,10000,2,54,640,1.583,17,-569,-1,5,1
2,10000,2,55,200,2.133,-38,-1,1,5,1
2,10000,2,56,860,1.667,122,-800,1,5,0
2,10000,2,57,200,2.150,-16,7,1,5,1
2,10000,2,58,200,2.700,61,3,-1,5,1
2,10000,2,59,200,1.817,-20,15,1,5,1
2,10000,2,60,860,2.017,-427,-724,-1,5,1
