Spread,Trial,Delta,Success
1,1,200,1
1,2,200,1
1,3,200,1
1,4,200,0
1,5,200,1
1,6,200,0
1,7,200,1
1,8,200,1
1,9,200,1
1,10,200,1
1,11,420,1
1,12,420,1
1,13,420,0
1,14,420,1
1,15,420,1
1,16,420,0
1,17,420,1
1,18,420,0
1,19,420,1
1,20,420,0
1,21,640,1
1,22,640,1
1,23,640,1
1,24,640,1
1,25,640,1
1,26,640,0
1,27,640,0
1,28,640,0
1,29,640,0
1,30,640,1
1,31,860,0
1,32,860,0
1,33,860,0
1,34,860,0
1,35,860,0
1,36,860,0
1,37,860,0
1,38,860,0
1,39,860,0
1,40,860,0
10000,1,200,1
10000,2,200,1
10000,3,200,1
10000,4,200,1
10000,5,200,1
10000,6,200,1
10000,7,200,1
10000,8,200,1
10000,9,200,1
10000,10,200,1
10000,11,420,1
10000,12,420,1
10000,13,420,1
10000,14,420,1
10000,15,420,1
10000,16,420,1
10000,17,420,1
10000,18,420,1
10000,19,420,1
10000,20,420,1
10000,21,640,0
10000,22,640,0
10000,23,640,0
10000,24,640,0
10000,25,640,0
10000,26,640,0
10000,27,640,0
10000,28,640,0
10000,29,640,0
10000,30,640,0
10000,31,860,0
10000,32,860,0
10000,33,860,0
10000,34,860,0
10000,35,860,0
10000,36,860,0
10000,37,860,0
10000,38,860,0
10000,39,860,0
10000,40,860,0
