Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
10000,1,1,13.116,530,1,-6.123047e+01
10000,1,1,22.293,530,2,-1.957031e+00
10000,1,1,27.499,530,3,-2.358789e+02
10000,1,2,10.279,530,1,-1.394141e+01
10000,1,3,4.506,530,1,1.193750e+01
10000,1,4,4.272,860,1,-5.100078e+02
10000,1,4,5.423,860,2,-5.283633e+02
10000,1,4,6.858,860,3,-5.362734e+02
10000,1,5,2.134,200,1,3.746094e+00
10000,1,6,1.901,365,1,2.075781e+01
10000,1,6,3.153,365,2,6.148438e+00
10000,1,7,2.654,695,1,4.332305e+02
10000,1,8,2.070,200,1,1.050781e+00
10000,1,9,2.304,530,1,2.208984e+01
10000,1,9,3.522,530,2,1.875000e+00
10000,1,9,4.506,530,3,2.419531e+01
10000,1,10,1.803,365,1,-8.390625e+00
10000,1,11,3.004,695,1,-3.496719e+02
10000,1,12,1.319,200,1,8.117188e+00
10000,1,13,2.003,860,1,6.195859e+02
10000,1,14,2.554,365,1,-4.648438e+00
10000,1,15,2.838,530,1,-4.726562e+00
10000,1,16,1.703,860,1,-5.285312e+02
10000,1,16,3.655,860,2,-5.493672e+02
10000,1,17,2.638,860,1,-6.009844e+02
10000,1,18,1.770,365,1,-1.880078e+01
10000,1,18,2.721,365,2,7.121094e+00
10000,1,19,1.436,365,1,-1.653516e+01
10000,1,20,1.202,365,1,3.851562e+00
10000,1,21,2.637,695,1,3.558594e+00
10000,1,21,5.057,695,2,2.780078e+02
10000,1,22,1.619,365,1,-1.126172e+01
10000,1,23,1.769,530,1,-2.132812e+00
10000,1,24,1.803,530,1,-4.242188e+00
10000,1,25,1.469,365,1,-6.785156e+00
10000,1,26,0.985,200,1,-7.257812e+00
10000,1,27,2.237,695,1,1.924609e+01
10000,1,27,6.742,695,2,-3.730625e+02
10000,1,28,3.004,695,1,3.545195e+02
10000,1,29,1.469,365,1,-8.605469e+00
10000,1,30,2.020,860,1,-5.852344e+02
10000,1,31,1.469,530,1,-1.465625e+01
10000,1,32,1.586,695,1,-3.636328e+01
10000,1,32,7.710,695,2,4.464219e+02
10000,1,33,1.269,365,1,-2.335938e+00
10000,1,34,1.169,200,1,-1.092188e+01
10000,1,35,1.219,365,1,-4.316406e+00
10000,1,36,2.204,530,1,-2.051172e+01
10000,1,37,2.821,860,1,-5.872109e+02
10000,1,38,1.236,200,1,-6.238281e+00
10000,1,39,2.988,695,1,4.640781e+02
10000,1,40,0.885,200,1,-1.437109e+01
10000,1,41,2.037,695,1,-4.650352e+02
10000,1,42,2.037,695,1,-4.225234e+02
10000,1,43,1.136,365,1,-2.554688e+01
10000,1,44,2.237,695,1,-4.993398e+02
10000,1,45,1.536,530,1,-3.073828e+01
10000,1,46,1.486,530,1,-2.649219e+01
10000,1,46,4.640,530,2,-6.812500e+00
10000,1,47,1.069,200,1,2.578125e-01
10000,1,48,1.352,530,1,5.273438e+00
10000,1,48,2.137,530,2,-1.116016e+01
10000,1,49,1.286,530,1,-3.586719e+01
10000,1,49,2.103,530,2,-8.433594e+00
10000,1,50,1.286,200,1,-6.183594e+00
10000,1,51,1.502,860,1,-6.259648e+02
10000,1,52,3.705,695,1,4.327500e+02
10000,1,53,1.686,860,1,-6.360742e+02
10000,1,54,2.187,530,1,-8.343750e+00
10000,1,55,2.070,860,1,5.943633e+02
10000,1,56,1.419,860,1,-6.068906e+02
10000,1,57,2.938,695,1,-5.472852e+02
10000,1,58,2.904,695,1,-4.230312e+02
10000,1,59,1.219,365,1,-1.403516e+01
10000,1,60,1.870,860,1,-6.565898e+02
10000,1,61,1.236,200,1,-1.062500e+00
10000,1,62,1.102,365,1,1.265625e+00
10000,1,63,1.319,860,1,4.871836e+02
10000,1,64,1.636,200,1,-2.173047e+01
10000,1,65,0.768,695,1,-3.781602e+02
10000,1,66,0.935,200,1,-1.084375e+01
10000,1,67,0.969,200,1,1.328125e-01
