Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,10000,1,1,530,19.791,-178,-1.647656e+01,1,5,0
2,10000,1,2,530,6.573,-12,5.085547e+01,1,5,1
2,10000,1,3,530,8.175,105,-4.976172e+01,1,5,0
2,10000,1,4,860,9.527,-116,3.072812e+02,-1,5,0
2,10000,1,5,200,6.755,40,3.476562e+00,1,5,1
2,10000,1,6,365,6.455,60,3.796484e+01,1,5,1
2,10000,1,7,695,5.639,344,-2.735938e+02,1,5,0
2,10000,1,8,200,3.120,-75,2.226562e-01,1,5,1
2,10000,1,9,530,5.906,-36,-6.623828e+01,1,5,0
2,10000,1,10,365,4.788,-155,-8.332031e+00,1,5,1
2,10000,1,11,695,6.674,344,-1.325391e+02,-1,5,0
2,10000,1,12,200,3.470,-80,1.204297e+01,-1,5,1
2,10000,1,13,860,6.557,252,4.526875e+02,-1,5,0
2,10000,1,14,365,3.654,163,1.162109e+01,1,5,1
2,10000,1,15,530,4.204,-32,1.257578e+02,1,5,1
2,10000,1,16,860,6.891,14,2.673945e+02,1,5,0
2,10000,1,17,860,7.441,-88,-4.264570e+02,-1,5,1
2,10000,1,18,365,4.505,127,2.154688e+01,-1,5,1
2,10000,1,19,365,4.738,159,-3.568359e+01,-1,5,1
2,10000,1,20,365,5.239,-173,4.925000e+01,-1,5,1
2,10000,1,21,695,3.804,18,1.930234e+02,1,5,1
2,10000,1,22,365,2.452,180,4.792578e+01,1,5,1
2,10000,1,23,530,4.255,-8,-4.904297e+01,1,5,0
2,10000,1,24,530,5.139,7,2.511719e+00,1,5,1
2,10000,1,25,365,4.254,-32,-1.116016e+01,1,5,1
2,10000,1,26,200,2.836,71,2.089062e+01,1,5,1
2,10000,1,27,695,4.688,35,-2.800898e+02,-1,5,1
2,10000,1,28,695,4.622,-73,-1.811445e+02,1,5,0
2,10000,1,29,365,3.687,134,3.680078e+01,1,5,1
2,10000,1,30,860,5.706,-385,-4.001406e+02,-1,5,1
2,10000,1,31,530,6.591,-25,-7.266797e+01,-1,5,1
2,10000,1,32,695,3.086,-22,2.129844e+02,-1,5,0
2,10000,1,33,365,3.353,-15,-2.867188e+00,1,5,1
2,10000,1,34,200,4.889,-29,2.589844e+00,1,5,1
2,10000,1,35,365,6.657,133,-1.216016e+01,1,5,1
2,10000,1,36,530,5.506,-16,1.477148e+02,1,5,1
2,10000,1,37,860,5.406,209,4.244219e+02,1,5,1
2,10000,1,38,200,2.853,-80,-2.523438e+00,1,5,1
2,10000,1,39,695,3.654,-223,-3.563984e+02,-1,5,1
2,10000,1,40,200,2.536,-73,1.217578e+01,1,5,1
2,10000,1,41,695,5.122,208,-3.792930e+02,1,5,0
2,10000,1,42,695,3.754,-135,-3.783086e+02,1,5,0
2,10000,1,43,365,3.070,18,1.073438e+01,-1,5,1
2,10000,1,44,695,5.139,-39,-2.288516e+02,1,5,0
2,10000,1,45,530,3.637,201,1.931211e+02,-1,5,0
2,10000,1,46,530,3.921,-211,-2.563438e+02,-1,5,1
2,10000,1,47,200,2.853,43,-1.596094e+01,-1,5,1
2,10000,1,48,530,6.090,33,8.847266e+01,-1,5,0
2,10000,1,49,530,3.253,-167,-2.096875e+02,-1,5,1
2,10000,1,50,200,2.819,-32,1.309766e+01,-1,5,1
2,10000,1,51,860,4.021,79,5.890273e+02,-1,5,0
2,10000,1,52,695,4.738,-58,-4.498477e+02,1,5,0
2,10000,1,53,860,2.920,-294,-4.102930e+02,-1,5,1
2,10000,1,54,530,6.257,-43,-1.853359e+02,1,5,0
2,10000,1,55,860,3.337,358,5.211875e+02,1,5,1
2,10000,1,56,860,3.153,-240,5.662070e+02,1,5,1
2,10000,1,57,695,3.687,-110,3.966523e+02,1,5,1
2,10000,1,58,695,2.302,264,-3.865391e+02,1,5,0
2,10000,1,59,365,2.218,-18,2.212500e+01,1,5,1
2,10000,1,60,860,3.721,302,-5.305391e+02,-1,5,1
2,10000,1,61,200,2.235,75,-3.699219e+00,-1,5,1
2,10000,1,62,365,2.035,-33,2.277344e+00,-1,5,1
