Spread,Trial,Delta,Success
10000,1,200,1
10000,2,200,1
10000,3,200,1
10000,4,200,1
10000,5,200,1
10000,6,200,1
10000,7,200,1
10000,8,200,1
10000,9,200,1
10000,10,200,1
10000,11,200,1
10000,12,200,1
10000,13,200,1
10000,14,200,1
10000,15,200,1
10000,16,365,1
10000,17,365,1
10000,18,365,1
10000,19,365,1
10000,20,365,1
10000,21,365,1
10000,22,365,1
10000,23,365,1
10000,24,365,1
10000,25,365,1
10000,26,365,1
10000,27,365,1
10000,28,365,1
10000,29,365,1
10000,30,365,1
10000,31,530,1
10000,32,530,1
10000,33,530,1
10000,34,530,1
10000,35,530,1
10000,36,530,1
10000,37,530,1
10000,38,530,1
10000,39,530,1
10000,40,530,1
10000,41,530,1
10000,42,530,1
10000,43,530,1
10000,44,530,1
10000,45,530,1
10000,46,695,0
10000,47,695,0
10000,48,695,0
10000,49,695,0
10000,50,695,0
10000,51,695,0
10000,52,695,0
10000,53,695,0
10000,54,695,0
10000,55,695,0
10000,56,695,0
10000,57,695,0
10000,58,695,0
10000,59,695,0
10000,60,695,0
10000,61,860,0
10000,62,860,0
10000,63,860,0
10000,64,860,0
10000,65,860,0
10000,66,860,0
10000,67,860,0
10000,68,860,0
10000,69,860,0
10000,70,860,0
10000,71,860,0
10000,72,860,0
10000,73,860,0
10000,74,860,0
10000,75,860,0
1,1,200,1
1,2,200,1
1,3,200,1
1,4,200,1
1,5,200,1
1,6,200,1
1,7,200,1
1,8,200,1
1,9,200,1
1,10,200,1
1,11,200,1
1,12,200,1
1,13,200,1
1,14,200,1
1,15,200,1
1,16,365,1
1,17,365,0
1,18,365,0
1,19,365,1
1,20,365,1
1,21,365,0
1,22,365,1
1,23,365,0
1,24,365,0
1,25,365,1
1,26,365,1
1,27,365,1
1,28,365,1
1,29,365,0
1,30,365,0
1,31,530,1
1,32,530,0
1,33,530,1
1,34,530,0
1,35,530,1
1,36,530,0
1,37,530,1
1,38,530,1
1,39,530,1
1,40,530,0
1,41,530,0
1,42,530,1
1,43,530,1
1,44,530,1
1,45,530,0
1,46,695,1
1,47,695,0
1,48,695,0
1,49,695,0
1,50,695,0
1,51,695,0
1,52,695,0
1,53,695,0
1,54,695,0
1,55,695,0
1,56,695,0
1,57,695,0
1,58,695,0
1,59,695,1
1,60,695,0
1,61,860,0
1,62,860,0
1,63,860,0
1,64,860,0
1,65,860,0
1,66,860,0
1,67,860,0
1,68,860,0
1,69,860,0
1,70,860,0
1,71,860,0
1,72,860,0
1,73,860,0
1,74,860,0
1,75,860,0
