participant,Sessiontype,University
1,"""Individual""","""Essex"""
2,"""Individual""","""Essex"""
3,"""Individual""","""Essex"""
4,"""Individual""","""Essex"""
5,"""Individual""","""Essex"""
6,"""Individual""","""Essex"""
7,"""Individual""","""Essex"""
8,"""Individual""","""Essex"""
9,"""Individual""","""Essex"""
10,"""Individual""","""Essex"""
11,"""Individual""","""Essex"""
12,"""Individual""","""Essex"""
13,"""Individual""","""Essex"""
14,"""Individual""","""Essex"""
15,"""Individual""","""Essex"""
16,"""Individual""","""Essex"""
17,"""Individual""","""Essex"""
18,"""Individual""","""Essex"""
19,"""Individual""","""Essex"""
20,"""Individual""","""Essex"""
21,"""Individual""","""Essex"""
22,"""Individual""","""Essex"""
23,"""Individual""","""Essex"""
24,"""Individual""","""Essex"""
25,"""Individual""","""Essex"""
26,"""Individual""","""Essex"""
27,"""Individual""","""Essex"""
28,"""Individual""","""Essex"""
29,"""Individual""","""Essex"""
30,"""Individual""","""Essex"""
31,"""Group""","""Aberdeen"""
32,"""Group""","""Aberdeen"""
33,"""Group""","""Aberdeen"""
34,"""Group""","""Aberdeen"""
35,"""Group""","""Aberdeen"""
36,"""Group""","""Aberdeen"""
37,"""Group""","""Aberdeen"""
38,"""Group""","""Aberdeen"""
39,"""Group""","""Aberdeen"""
40,"""Group""","""Aberdeen"""
41,"""Group""","""Aberdeen"""
42,"""Group""","""Aberdeen"""
43,"""Group""","""Aberdeen"""
44,"""Group""","""Aberdeen"""
45,"""Group""","""Aberdeen"""
46,"""Group""","""Aberdeen"""
47,"""Group""","""Aberdeen"""
48,"""Group""","""Aberdeen"""
49,"""Group""","""Aberdeen"""
50,"""Group""","""Aberdeen"""
51,"""Group""","""Aberdeen"""
52,"""Group""","""Aberdeen"""
53,"""Group""","""Aberdeen"""
54,"""Group""","""Aberdeen"""
55,"""Group""","""Aberdeen"""
56,"""Group""","""Aberdeen"""
57,"""Group""","""Aberdeen"""
58,"""Group""","""Aberdeen"""
59,"""Group""","""Aberdeen"""
60,"""Group""","""Aberdeen"""
61,"""Group""","""Aberdeen"""
62,"""Group""","""Aberdeen"""
63,"""Group""","""Aberdeen"""
64,"""Group""","""Aberdeen"""
65,"""Individual""","""Aberdeen"""
66,"""Individual""","""Aberdeen"""
67,"""Individual""","""Aberdeen"""
68,"""Individual""","""Aberdeen"""
69,"""Individual""","""Aberdeen"""
70,"""Individual""","""Aberdeen"""
71,"""Group""","""Aberdeen"""
72,"""Group""","""Aberdeen"""
73,"""Group""","""Aberdeen"""
74,"""Group""","""Aberdeen"""
75,"""Individual""","""Aberdeen"""
76,"""Individual""","""Aberdeen"""
77,"""Individual""","""Aberdeen"""
78,"""Individual""","""Aberdeen"""
79,"""Individual""","""Aberdeen"""
80,"""Individual""","""Aberdeen"""
81,"""Individual""","""Aberdeen"""
82,"""Individual""","""Aberdeen"""
83,"""Individual""","""Aberdeen"""
84,"""Individual""","""Aberdeen"""
85,"""Individual""","""Aberdeen"""
86,"""Individual""","""Aberdeen"""
87,"""Individual""","""Aberdeen"""
88,"""Individual""","""Aberdeen"""
89,"""Individual""","""Aberdeen"""
90,"""Individual""","""Aberdeen"""
