"participant","condition_label","Constant_200","Constant_367","Constant_533","Constant_700","Variable_200","Variable_367","Variable_533","Variable_700"
"31","abstract",0.052,0.0336363605785127,0.628500039281252,0.701238095238095,0.177666666666667,0.335818151289259,0.430125026882814,0.501904761904762
"32","truck",0.0193333333333333,0.0399999963636367,0.372625023289064,0.490190476190476,0.02,0.0223636343305787,0.0113750007109375,0.00914285714285714
"33","abstract",0.0516666666666667,0.0834545378677693,0.491375030710939,0.757333333333333,0.0783333333333333,0.359454512776862,0.729750045609378,0.806380952380952
"34","truck",0.0713333333333333,0.0659999940000005,0.166625010414063,0.563428571428571,0.136,0.298545427404961,0.439750027484377,0.705714285714286
"35","abstract",0.253333333333333,0.652545395223146,0.713250044578128,0.849333333333333,0.245333333333333,0.56818176652893,0.751625046976565,0.869714285714286
"36","truck",0.0486666666666667,0.0958181731074388,0.353250022078126,0.49552380952381,0.132666666666667,0.161818167107439,0.293625018351564,0.309809523809524
"37","abstract",0.0956666666666667,0.191999982545456,0.464125029007814,0.707047619047619,0.164,0.621454488958683,0.665500041593753,0.757809523809524
"38","truck",0.05,0.0398181781983474,0.603500037718752,0.723714285714286,0.178333333333333,0.809818108198354,0.868500054281253,0.90152380952381
"39","abstract",0.65,0.934727187752074,0.940750058796879,0.966952380952381,0.605666666666667,0.604545399586782,0.69037504314844,0.65847619047619
"40","truck",0.13,0.319090880082647,0.481875030117189,0.633809523809524,0.311666666666667,0.278181792892564,0.50687503167969,0.453809523809524
"41","abstract",0.263666666666667,0.397454509322317,0.320375020023439,0.176190476190476,0.279,0.519818134561988,0.621625038851565,0.668571428571429
"42","truck",0.0246666666666667,0.124727261388431,0.415500025968752,0.479809523809524,0.0623333333333333,0.466727230297525,0.598625037414065,0.725428571428571
"43","abstract",0.0646666666666667,0.135999987636365,0.494625030914064,0.698666666666667,0.330333333333333,0.59763630930579,0.562750035171877,0.718952380952381
"44","truck",0.0286666666666667,0.111818171652893,0.867750054234378,0.902857142857143,0.03,0.3723636025124,0.574250035890627,0.826380952380952
"45","abstract",0.0473333333333333,0.113090898809918,0.146750009171876,0.0355238095238095,0.0646666666666667,0.0507272681157029,0.0501250031328127,0.0486666666666667
"46","truck",0.0283333333333333,0.486363592148764,0.396250024765627,0.536666666666667,0.0433333333333333,0.393636327851243,0.601250037578127,0.791904761904762
"47","abstract",0.0756666666666667,0.133090896991737,0.65087504067969,0.800761904761905,0.0866666666666667,0.261090885355374,0.418250026140627,0.632285714285714
"48","truck",0.124,0.593272673338848,0.650625040664065,0.744190476190476,0.373333333333333,0.468909048280996,0.531625033226565,0.619238095238095
"49","abstract",0.066,0.135454533140497,0.524500032781252,0.507333333333333,0.089,0.388909055553722,0.607625037976565,0.686571428571429
"50","truck",0.0476666666666667,0.0552727222479343,0.280625017539064,0.412761904761905,0.0533333333333333,0.250363613603308,0.391625024476564,0.407047619047619
"51","abstract",0.110333333333333,0.287454519322316,0.401875025117189,0.511238095238095,0.934,0.989090819173562,0.982125061382816,1.00104761904762
"52","abstract",0.576,0.590545400859509,0.709500044343753,0.761904761904762,0.0833333333333333,0.253454522413225,0.409375025585939,0.428761904761905
"53","truck",0.0646666666666667,0.191999982545456,0.318500019906251,0.354190476190476,0.149,0.165999984909092,0.188750011796876,0.309238095238095
"54","truck",0.052,0.181999983454547,0.298750018671876,0.289333333333333,0.0533333333333333,0.0807272653884304,0.360000022500001,0.483333333333333
"55","abstract",0.153,0.351636331669424,0.378750023671876,0.314095238095238,0.908,0.953272640611578,0.957875059867191,0.971333333333333
"56","abstract",0.102666666666667,0.358727240115705,0.693000043312503,0.80447619047619,0.0813333333333333,0.47509086590083,0.596500037281252,0.794857142857143
"57","truck",0.03,0.160181803619836,0.792750049546878,0.844285714285714,0.0243333333333333,0.399818145471078,0.634250039640627,0.766857142857143
"58","truck",0.0296666666666667,0.174909075008266,0.632250039515628,0.767047619047619,0.0356666666666667,0.317636334760333,0.328875020554689,0.480857142857143
"59","abstract",0.0416666666666667,0.0552727222479343,0.373375023335939,0.545428571428571,0.342666666666667,0.594181764165294,0.504500031531252,0.691047619047619
"60","abstract",0.057,0.183454528776861,0.511250031953127,0.65647619047619,0.207666666666667,0.586727219388435,0.708500044281253,0.727714285714286
"61","truck",0.0446666666666667,0.289999973636366,0.846000052875003,0.892952380952381,0.0893333333333333,0.208545435586779,0.219625013726563,0.154190476190476
"62","truck",0.061,0.0836363560330585,0.515750032234377,0.640571428571429,0.054,0.447272686611574,0.71737504483594,0.823047619047619
"63","abstract",0.05,0.205454526776861,0.306250019140626,0.383333333333333,0.29,0.0663636303305791,0.387500024218752,0.222380952380952
"64","abstract",0.0643333333333333,0.0839999923636371,0.410875025679689,0.657428571428571,0.0406666666666667,0.233818160561985,0.52887503305469,0.796761904761905
"71","abstract",0.0283333333333333,0.0689090846446287,0.53687503355469,0.716095238095238,0.082,0.296909063917358,0.411000025687502,0.500952380952381
"72","abstract",0.308,0.355636331305788,0.813375050835941,0.824,0.0363333333333333,0.33054542449587,0.845250052828128,0.978380952380952
"73","truck",0.0623333333333333,0.35018178634711,0.454125028382814,0.564952380952381,0.066,0.105818172198348,0.203875012742188,0.340952380952381
"74","truck",0.0796666666666667,0.125090897719009,0.161250010078126,0.312857142857143,0.043,0.119454534595042,0.130375008148438,0.122666666666667
