"participant","Constant_200","Constant_365","Constant_530","Constant_695","Constant_860","Variable_200","Variable_365","Variable_530","Variable_695","Variable_860"
"01",2.106,2.666,3.003,4.328,2.36,2.451,2.147,2.131,2.43,2.594
"02",1.806,1.816,1.929,1.87,1.862,1.862,1.814,2.155,1.853,1.663
"03",1.966,2.087,1.795,2.137,2.339,2.358,2.707,2.656,3.56,4.79
"04",2.612,3.087,4.374,3.481,3.324,2.475,2.173,2.435,2.223,2.201
"05",1.425,1.855,1.726,1.65,1.773,1.743,1.961,1.772,2.269,2.929
"06",1.737,2.116,2.574,2.235,2.411,1.573,1.502,1.824,1.552,1.929
"07",2.153,3.342,2.562,3.952,3.25,1.935,1.853,2.886,1.986,2.402
"08",2.182,1.994,1.605,1.688,1.692,1.827,2.046,2.774,3.111,1.84
"09",2.037,2.469,2.345,2.154,2.165,1.989,2.186,2.014,2.151,2
"10",1.871,1.95,3.226,2.012,2.093,1.453,1.602,1.525,1.656,1.851
"11",1.639,2.089,2.237,2.324,2.704,1.937,2.231,2.282,2.317,2.718
"12",2.28,2.84,6.943,4.523,3.379,2.729,2.933,2.976,2.621,2.917
"13",2.725,3.088,2.568,2.935,3.819,3.18,3.802,3.515,5.21,5.186
"14",2.101,2.555,2.894,2.199,2.449,1.84,2.045,1.934,2.006,2.131
"15",2.834,2.652,2.969,3.927,2.972,3.159,3.519,3.288,3.419,3.833
"16",2.083,2.316,3.914,2.339,2.776,1.5,1.448,1.638,1.446,1.719
"17",2.561,2.914,3.529,2.664,2.809,3.159,3.123,3.161,3.661,3.9
"18",2.618,2.986,8.385,3.011,3.665,1.741,1.984,2.375,2.352,1.947
"19",1.551,1.783,2.189,2.457,2.406,2.275,3.531,3.888,3.544,3.631
"20",1.679,1.842,2.461,2.719,3.31,1.731,1.966,2.821,2.178,2.085
"21",2.301,2.976,2.222,2.469,2.686,2.937,3.501,2.49,4.444,4.128
"22",2.389,2.308,3.588,2.862,2.926,1.855,1.946,2.068,2.122,2.357
"23",1.758,2.022,2.299,2.094,2.04,2.3,2.437,2.648,3.268,3.431
"24",2.487,3.314,4.996,2.439,3.025,1.849,1.945,2.255,1.952,1.954
"25",1.735,1.838,1.68,2.007,1.801,2.082,1.848,1.875,2.451,2.337
"26",3.675,4.253,6.153,4.197,4.891,2.503,3.154,3.075,2.479,2.928
"27",1.707,1.73,1.621,1.755,1.807,1.835,2.532,2.193,2.073,2.494
"28",1.694,1.671,1.966,1.923,1.963,1.786,1.914,1.621,1.677,1.765
"29",1.588,1.78,1.645,1.852,1.913,2.295,2.51,2.764,3.226,4.931
"30",3.429,3.224,4.463,4.209,10.115,2.061,1.92,2.313,2.297,2.483
