"participant","Constant_200","Constant_365","Constant_530","Constant_695","Constant_860","Variable_200","Variable_365","Variable_530","Variable_695","Variable_860"
"01",0.000490054770729888,0.00349926896543344,0.0375996301696189,0.00787992584423718,0.00613029514336475,0.000379978633426901,0.0381058010921583,0.00358342941891878,0.00889170497518959,0.00105786473929769
"02",0.00615516223285453,0.0252326926823368,0.0348929066996891,0.0361282825390855,0.0553952774236319,0.00403064157354648,0.0227236159889812,0.0200390424405009,0.0111866419393337,0.0159786118075096
"03",0.000635347535137151,0.0343742023819483,0.021390825237734,0.0191870127912482,0.0233668847271882,0.00410353111483196,0.0138159425309608,0.0392415160107353,0.0504595961656112,0.075200606969646
"04",0.00506982392496515,0.00720209031275044,0.053513240714872,0.0489428111951862,0.00862677216209122,0.00948268249818113,0.0797219436018092,0.0461475530301313,0.0361091291181716,0.00545651574831337
"05",0.00194271528972018,0.0191855721479951,0.0296333788637941,0.0170268244805318,0.0141799061876261,0.0144027055719403,0.0432550255783376,0.0441701321717759,0.0624586116968592,0.0990132244246258
"06",0.00103293848914001,0.00207359552277125,0.0111518293886375,0.0138172766590623,0.0136231561111769,0.00123654459918752,0.0212371250073476,0.0152435486704085,0.0231832155774969,0.0336431002385857
"07",0.000196699026321385,0.000114242099968603,0.000114868800819042,0.00775202316711735,0.00284453696138453,0.000156686039091614,0.0479680303798943,0.00779696709520148,0.00169087152825275,0.0011231965352014
"08",0.0100580636987096,0.0248036915205776,0.0154278745994721,0.0182801710405361,0.0229198709230852,0.0275540151663895,0.0533194786238332,0.0716512433752166,0.0718953808228322,0.0684207377533417
"09",0.000176835372218194,0.000457056338121553,0.00865055528671346,0.0146696538561283,0.00443317262106441,0.000550334544845219,0.0707193718293455,0.0404219389335137,0.00632370689262224,0.0152872126184495
"10",0.054659413131422,0.0381204358688012,0.0481499351068536,0.0490316891825395,0.0471287024618791,0.0590077172460697,0.0404527777715347,0.0611090981838449,0.0352785527614933,0.0539087606479471
"11",0.00207802061309295,0.0342837047339483,0.0508164696225289,0.00987589480153202,0.00778039555143836,0.0479737775496609,0.0469556189280624,0.0496352753467713,0.0326318997936648,0.0619448067343738
"12",0.000862597976697897,0.000297588948836242,0.012004382610155,0.00950694570439921,0.0032030549561973,0.0198600986410789,0.0853317728944558,0.0628129872564433,0.0070318816544712,0.00741399071047053
"13",0.130026283197041,0.102639754867941,0.0186029231596918,0.00338473817212596,0.0402063865342244,0.0838509097515247,0.128589320537021,0.0771803190681899,0.0917367697032358,0.0950046071750494
"14",0.00139895211125291,0.022667355073128,0.0588270940229116,0.0147730814141991,0.0306061672900686,0.00769879451284263,0.0370542729579418,0.0470293976947097,0.0320670451222602,0.00485537006704628
"15",0.0455986373419954,0.0576937251158558,0.0459105375771271,0.0177432871236711,0.0648735223015331,0.0456087466788872,0.0363397639887088,0.0205273716115842,0.120823682547869,0.0892283440427323
"16",0.0014031631772114,0.000509908536284763,0.0212266167078604,0.0139847161081194,0.00814606117038837,0.0017501311463212,0.00492889061848233,0.0193220221184567,0.0134000974137312,0.0609617292289959
"17",0.000239553823608702,0.0140357805512995,0.0696467741615114,0.00364470431719939,0.00294166684559002,0.0407647012935065,0.0108790403272709,0.0422998132319568,0.0138659847689234,0.0626746913451908
"18",0.0324840394940416,0.000541671223213051,0.0211091273094333,0.000371248546860164,0.0866398641009402,0.0013915198210636,0.026727268627501,0.0278368565736391,0.0925541611461241,0.114094767368356
"19",0.00229182909627666,0.0263989095841817,0.0845482392950865,0.0721177496679879,0.0519531912637535,0.000316472282233564,0.00584280693986439,0.0324558198349924,0.0593841047487071,0.0679473075748194
"20",0.00136961224952643,0.000833030583564835,0.000503801053493284,0.0479981084376539,0.0186570392120518,0.00035740631384002,0.000698001443322561,0.0518892703902434,0.00290711098026277,0.000706345289649746
"21",0.0014635329700358,0.0338659350154154,0.0288461425707366,0.0431883359116896,0.0294019275074419,0.0576202342143078,0.0373375169096486,0.0475811802790524,0.0586538287790118,0.0760191836817583
"22",0.00145117508727851,0.0264079944258883,0.0213480316428153,0.0137713819500577,0.0307296684906799,0.0171270957917908,0.0193232602031062,0.0284483304026067,0.00639058970738417,0.0136991700298711
"23",0.00183326987841953,0.0112379474531957,0.0200796961302093,0.0151216970627761,0.00572485623001906,0.000404437446554621,0.0192843036143412,0.0371695434082091,0.0248588795818172,0.0230340813259076
