Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
1,1,1,5.630,1180,1,-9.876680e+02
1,1,2,5.700,5.266667e+02,1,3.019258e+02
1,1,3,3.750,8.533333e+02,1,6.716523e+02
1,1,4,5.168,200,1,-3.832031e+00
10,2,1,5.858,1180,1,8.606367e+02
10,2,2,2.351,5.266667e+02,1,-4.442500e+02
10,2,3,2.185,200,1,5.832031e+00
10,2,4,62.155,8.533333e+02,1,-4.083906e+02
1000,3,1,1.678,8.533333e+02,1,-6.693516e+02
1000,3,2,1.634,1180,1,-1.084180e+02
1000,3,3,1.135,5.266667e+02,1,-3.092617e+02
1000,3,4,1.251,200,1,-5.804727e+02
