Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,1,1,1,1180,7.230,-486,-9.876680e+02,1,5,0
2,1,1,2,5.266667e+02,7.183,49,3.019258e+02,1,6,1
2,1,1,3,8.533333e+02,4.834,-51,6.716523e+02,-1,9,0
2,1,1,4,200,6.418,70,-3.832031e+00,1,10,1
2,10,2,1,1180,7.076,50,8.606367e+02,1,5,1
2,10,2,2,5.266667e+02,3.235,-36,-4.442500e+02,1,7,0
2,10,2,3,200,3.018,40,5.832031e+00,-1,8,1
2,10,2,4,8.533333e+02,69.973,403,-4.083906e+02,-1,7,1
2,1000,3,1,8.533333e+02,2.494,-360,-6.693516e+02,-1,7,1
2,1000,3,2,1180,3.002,-109,-1.084180e+02,-1,7,0
2,1000,3,3,5.266667e+02,1.835,-159,-3.092617e+02,-1,7,1
2,1000,3,4,200,2.367,-26,-5.804727e+02,1,7,0
