Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
1,1,1,2.810,420,1,6
1,1,2,2.429,640,1,-336
1,1,3,2.497,860,1,686
1,1,4,2.024,420,1,1
1,1,5,1.442,420,1,-6
1,1,6,1.443,640,1,288
1,1,7,2.024,200,1,3
1,1,8,2.666,860,1,561
1,1,9,4.522,860,1,-627
1,1,10,1.958,420,1,-16
1,1,11,1.586,860,1,-480
1,1,12,2.498,860,1,600
1,1,13,1.789,640,1,-226
1,1,14,2.800,860,1,483
1,1,15,1.387,200,1,-2
1,1,16,1.620,200,1,-4
1,1,17,2.665,860,1,-653
1,1,18,1.755,640,1,425
1,1,19,1.856,640,1,-288
1,1,20,1.586,420,1,4
1,1,21,1.789,640,1,295
1,1,22,1.587,200,1,9
1,1,23,1.282,420,1,31
1,1,24,1.184,420,1,-59
1,1,25,1.383,200,1,-10
1,1,26,2.396,640,1,-324
1,1,27,1.485,860,1,547
1,1,27,1.722,860,2,547
1,1,28,1.823,640,1,-333
1,1,29,3.274,420,1,103
1,1,30,2.661,860,1,565
1,1,31,1.249,200,1,6
1,1,32,1.452,860,1,-404
1,1,33,2.329,640,1,1
1,1,34,1.181,640,1,19
1,1,35,1.684,860,1,567
1,1,36,3.376,860,1,720
1,1,37,1.991,640,1,-438
1,1,38,2.499,860,1,559
1,1,39,1.384,200,1,-8
1,1,40,1.519,640,1,-336
1,1,41,1.688,200,1,-5
1,1,42,1.790,420,1,293
1,1,43,1.890,420,1,244
1,1,44,1.959,640,1,-463
1,1,45,1.451,200,1,15
1,1,46,1.586,420,1,-156
1,1,47,2.161,640,1,235
1,1,48,1.621,200,1,-19
1,1,49,1.283,420,1,-127
1,1,50,1.484,200,1,-5
1,1,52,1.283,200,1,21
1,1,53,1.249,420,1,-111
1,1,55,2.599,420,1,-251
1,1,57,2.129,860,1,-592
1,1,58,2.092,640,1,-345
1,1,60,1.351,860,1,596
10,2,1,2.099,420,1,8
10,2,2,2.598,640,1,366
10,2,3,3.678,860,1,515
10,2,4,16.989,200,1,-13
10,2,5,2.903,200,1,-17
10,2,6,1.384,640,1,452
10,2,7,1.822,200,1,7
10,2,8,1.419,200,1,10
10,2,9,3.205,860,1,619
10,2,10,2.296,420,1,-11
10,2,11,7.867,420,1,5
10,2,12,1.046,640,1,266
10,2,13,6.145,200,1,32
10,2,14,3.546,200,1,-33
10,2,15,1.687,420,1,1
10,2,16,1.384,200,1,-4
10,2,17,3.037,640,1,357
10,2,18,2.362,860,1,476
10,2,19,1.587,200,1,-29
10,2,20,2.228,860,1,-732
10,2,21,2.430,860,1,742
10,2,22,4.117,640,1,480
10,2,23,1.789,860,1,-669
10,2,24,1.755,860,1,767
10,2,25,1.856,420,1,-40
10,2,26,1.519,860,1,-640
10,2,27,3.543,420,1,261
10,2,28,1.383,420,1,-294
10,2,29,1.620,640,1,-442
10,2,30,1.317,200,1,3
10,2,31,1.553,640,1,-395
10,2,32,1.890,640,1,453
10,2,33,1.620,860,1,-514
10,2,34,1.687,420,1,-183
10,2,35,1.653,860,1,-537
10,2,36,1.080,200,1,21
10,2,37,1.181,200,1,0
10,2,38,1.755,640,1,-418
10,2,39,1.012,200,1,-28
10,2,40,1.350,640,1,-332
10,2,41,1.687,860,1,495
10,2,42,1.248,420,1,-123
10,2,43,1.183,200,1,12
10,2,44,5.099,860,1,-608
10,2,45,1.688,640,1,284
10,2,46,0.708,860,1,-282
10,2,47,1.588,420,1,160
10,2,48,1.824,860,1,683
10,2,49,1.350,420,1,-231
10,2,50,3.645,860,1,684
10,2,51,1.352,640,1,-378
10,2,52,1.519,420,1,20
10,2,53,1.484,420,1,-6
10,2,54,1.282,200,1,-20
10,2,55,1.823,640,1,-13
10,2,56,1.654,200,1,-21
10,2,57,8.578,640,1,-211
10,2,58,1.721,420,1,-173
10,2,59,1.486,420,1,-229
10,2,60,1.553,640,1,403
1000,3,1,4.498,640,1,-216
1000,3,2,1.519,420,1,-249
1000,3,3,1.789,200,1,-8
1000,3,4,1.147,640,1,7
1000,3,4,2.464,640,2,331
1000,3,5,4.389,860,1,-611
1000,3,6,3.715,200,1,-37
1000,3,7,1.518,200,1,-9
1000,3,8,2.094,860,1,599
1000,3,9,1.114,640,1,96
1000,3,10,1.653,640,1,429
1000,3,12,2.059,420,1,-297
1000,3,13,1.417,420,1,-228
1000,3,14,1.182,640,1,374
1000,3,15,1.419,200,1,5
1000,3,16,1.316,420,1,-214
1000,3,17,1.350,200,1,-9
