Spread,Delta,Y_or_N,Confidence
1,420.000,0,7.541289e+02
1,860.000,0,7.248516e+02
1,640.000,0,480
1,200.000,1,9.270234e+02
1,860.000,0,8.948438e+02
1,420.000,1,480
1,200.000,1,9.516055e+02
1,640.000,0,480
10,420.000,1,5.316836e+02
10,860.000,0,7.951836e+02
10,640.000,0,6.068945e+02
10,200.000,1,9.273867e+02
10,860.000,0,8.407969e+02
10,420.000,1,6.534688e+02
10,200.000,1,9.387578e+02
10,640.000,0,5.247578e+02
1000,420.000,1,7.975469e+02
1000,860.000,0,8.594766e+02
1000,640.000,0,5.541094e+02
1000,200.000,1,9.266641e+02
1000,860.000,0,8.770195e+02
1000,420.000,1,6.720469e+02
1000,200.000,1,9.443398e+02
1000,640.000,0,5.949844e+02
