Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,1,1,1,640,8.690,-313,-4.732188e+02,-1,8,1
2,1,1,2,640,7.891,109,-6.419844e+02,-1,9,1
2,1,1,3,420,4.405,-128,2.418086e+02,-1,2,0
2,1,1,4,860,2.886,-80,-7.985234e+02,1,7,0
2,1,1,5,640,3.170,148,-7.442969e+01,1,9,1
2,1,1,6,200,3.120,29,3.085938e-01,-1,4,1
2,1,1,7,860,5.106,43,1.496016e+02,-1,8,0
2,1,1,8,200,4.472,-40,-1.290234e+01,1,7,1
2,1,1,9,200,2.753,38,-7.871094e+00,1,2,1
2,1,1,10,640,2.452,119,-1.272109e+02,1,6,0
2,1,1,11,200,1.868,-37,8.164062e+00,1,5,1
2,1,1,12,420,2.169,-82,2.194180e+02,-1,7,1
2,1,1,13,860,3.870,307,-1.139648e+02,1,7,0
2,1,1,14,420,2.185,-183,-1.147266e+01,1,3,0
2,1,1,15,860,2.286,-306,-4.583047e+02,1,3,0
2,1,1,16,420,2.669,163,-5.656250e+00,-1,9,1
2,1,1,17,200,2.469,8,9.375000e-01,-1,8,1
2,1,1,18,420,7.625,177,1.148047e+01,-1,3,0
2,1,1,19,860,3.153,192,5.519648e+02,1,5,1
2,1,1,20,860,2.269,179,-6.402305e+02,1,3,0
2,1,1,21,640,3.804,-77,1.326016e+02,-1,6,0
2,1,1,22,640,3.821,-91,-2.348438e+01,1,7,1
2,1,1,23,420,2.235,137,-9.589844e+00,-1,8,1
2,1,1,24,420,2.035,166,-9.859375e+00,-1,4,1
2,1,1,25,200,2.069,-98,-1.180469e+01,1,3,1
2,1,1,26,420,4.221,127,6.578125e+00,1,1,0
2,1,1,27,860,5.472,-353,-4.964062e+02,-1,3,0
2,1,1,28,640,9.494,313,-5.972383e+02,-1,8,1
2,1,1,29,860,12.263,-219,-7.496602e+02,1,4,0
2,1,1,30,200,4.505,59,-1.165625e+01,1,3,1
2,1,1,31,420,2.452,-199,7.429688e+00,-1,3,0
2,1,1,32,420,2.936,-93,-8.004297e+01,1,6,1
2,1,1,33,860,4.621,-284,2.123828e+02,1,2,0
