Spread,Delta,Y_or_N,Confidence
1,420.000,0,6.635781e+02
1,860.000,0,9.159453e+02
1,640.000,0,9.130039e+02
1,200.000,1,8.565547e+02
1,860.000,0,9.209336e+02
1,420.000,0,9.008906e+02
1,200.000,1,960
1,640.000,0,9.548398e+02
10,420.000,0,8.850664e+02
10,860.000,0,8.908672e+02
10,640.000,0,9.244297e+02
10,200.000,1,960
10,860.000,0,9.268750e+02
10,420.000,0,7.578320e+02
10,200.000,1,960
10,640.000,0,9.174219e+02
1000,420.000,1,8.174375e+02
1000,860.000,0,8.891602e+02
1000,640.000,0,8.588008e+02
1000,200.000,1,960
1000,860.000,0,8.547773e+02
1000,420.000,0,7.098711e+02
1000,200.000,1,960
1000,640.000,0,8.087773e+02
