"Participant","Close_Certain","Close_Random","Close_Uncertain","Far_Certain","Far_Random","Far_Uncertain"
"1",0.528,0.481,0.438,0.652,0.598,0.63
"10",0.195,0.466,0.286,0.778,0.616,0.738
"11",0.044,0.059,0.027,0.255,0.11,0.056
"12",0.111,0.524,0.139,0.805,0.769,0.728
"13",0.237,0.359,0.202,0.573,0.706,0.532
"14",0.229,0.151,0.18,0.626,0.562,0.621
"15",0.356,0.287,0.346,0.612,0.701,0.655
"16",0.432,0.438,0.377,0.479,0.658,0.609
"17",0.26,0.218,0.286,0.675,0.56,0.624
"18",0.463,0.487,0.382,0.593,0.641,0.437
"19",0.078,0.175,0.19,0.561,0.728,0.542
"2",0.251,0.21,0.249,0.601,0.315,0.594
"20",0.164,0.131,0.175,0.595,0.59,0.6
"4",0.154,0.315,0.25,0.579,0.506,0.604
"5",0.185,0.296,0.386,0.621,0.535,0.7
"6",0.41,0.258,0.302,0.662,0.479,0.628
"7",0.265,0.138,0.186,0.705,0.626,0.695
"8",0.063,0.089,0.12,0.727,0.502,0.593
"9",0.038,0.18,0.093,0.473,0.414,0.532
