Spread,Delta,Y_or_N,Confidence
1,420.000,0,960
1,860.000,0,7.660430e+02
1,640.000,1,7.631953e+02
1,200.000,1,960
1,860.000,0,6.449414e+02
1,420.000,1,3.775781e+02
1,200.000,1,960
1,640.000,1,2.097461e+02
10,420.000,1,960
10,860.000,0,960
10,640.000,0,6.987812e+02
10,200.000,1,960
10,860.000,0,960
10,420.000,1,6.946016e+02
10,200.000,1,960
10,640.000,0,8.358555e+02
1000,420.000,1,960
1000,860.000,0,960
1000,640.000,0,7.517070e+02
1000,200.000,1,960
1000,860.000,0,8.677461e+02
1000,420.000,1,8.123945e+02
1000,200.000,1,960
1000,640.000,0,8.346133e+02
