Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
1,1,1,1.266,640,1,-3.284375e+01
1,1,1,3.785,640,2,5.571758e+02
1,1,2,1.435,640,1,-5.561367e+02
1,1,3,1.135,420,1,-3.389961e+02
1,1,4,1.536,860,1,8.115820e+02
1,1,5,1.118,640,1,5.921875e+02
1,1,6,1.919,200,1,3.320312e+00
1,1,7,1.286,860,1,-6.962070e+02
1,1,8,1.068,200,1,1.405469e+02
1,1,9,1.219,200,1,4.644531e+00
1,1,10,2.103,640,1,-4.950430e+02
1,1,11,1.219,200,1,1.263281e+01
1,1,12,0.735,420,1,-2.651953e+02
1,1,13,1.669,860,1,5.884688e+02
1,1,14,1.986,420,1,2.441914e+02
1,1,15,1.052,860,1,-6.032461e+02
1,1,16,0.852,420,1,2.888164e+02
1,1,17,1.152,200,1,1.038281e+01
1,1,18,1.452,420,1,-2.888359e+02
1,1,19,1.519,860,1,6.186367e+02
1,1,20,6.141,860,1,-6.479023e+02
1,1,21,8.260,640,1,4.672188e+02
1,1,22,21.292,640,1,-4.006797e+02
1,1,23,1.636,420,1,3.048320e+02
1,1,24,1.636,420,1,3.511719e+00
1,1,25,1.119,200,1,-2.804688e+00
1,1,26,1.152,420,1,1.500586e+02
1,1,27,1.636,860,1,-6.986484e+02
1,1,28,2.270,640,1,3.440625e+02
1,1,29,1.319,860,1,-7.120820e+02
1,1,30,1.002,200,1,4.832031e+00
1,1,31,1.135,420,1,2.627109e+02
1,1,32,2.404,420,1,3.156445e+02
1,1,33,1.286,860,1,-652
1,1,34,1.104,200,1,8.156641e+01
1,1,35,3.505,640,1,4.997109e+02
1,1,35,5.607,640,2,2.246953e+02
1,1,36,11.948,860,1,-3.847422e+02
1,1,37,1.035,420,1,-2.393984e+02
1,1,38,0.969,420,1,7.892969e+01
1,1,38,1.369,420,2,1.552969e+02
1,1,39,1.503,640,1,4.188398e+02
1,1,40,3.788,640,1,2.880977e+02
1,1,41,1.336,860,1,5.911875e+02
1,1,42,1.035,640,1,-4.164219e+02
1,1,43,2.837,860,1,-6.048594e+02
1,1,44,1.102,420,1,2.532578e+02
1,1,45,2.070,860,1,6.594375e+02
1,1,46,1.001,860,1,5.893945e+02
1,1,47,2.103,860,1,5.916523e+02
1,1,48,1.085,200,1,1.312500e+00
1,1,49,2.169,200,1,1.290234e+01
1,1,50,3.488,640,1,-3.828477e+02
1,1,51,1.669,640,1,5.370664e+02
1,1,52,1.152,200,1,3.220703e+01
1,1,53,5.274,640,1,-4.023438e+02
1,1,54,2.637,200,1,-2.280859e+01
1,1,55,0.934,200,1,8.046484e+01
1,1,56,1.302,640,1,4.458594e+02
1,1,57,0.968,200,1,2.381250e+01
1,1,58,0.868,420,1,2.329570e+02
1,1,59,0.835,200,1,9.648438e-01
1,1,60,6.608,420,1,2.613438e+02
10,2,1,1.491,860,1,-5.899062e+02
10,2,2,2.754,420,1,2.598828e+01
10,2,2,3.188,420,2,8.647656e+01
10,2,3,0.752,420,1,5.900781e+01
10,2,4,0.885,420,1,-5.731250e+01
10,2,5,0.918,640,1,-1.628828e+02
10,2,6,1.019,860,1,-3.951992e+02
10,2,6,1.753,860,2,7.473320e+02
10,2,7,0.701,640,1,3.085938e+02
