Spread,Trial,Delta,Success
1,1,200,1
1,2,200,1
1,3,200,1
1,4,200,1
1,5,200,1
1,6,420,1
1,7,420,1
1,8,420,0
1,9,420,1
1,10,420,1
1,11,640,0
1,12,640,1
1,13,640,0
1,14,640,0
1,15,640,0
1,16,860,0
1,17,860,0
1,18,860,0
1,19,860,0
1,20,860,0
10,1,200,1
10,2,200,1
10,3,200,1
10,4,200,1
10,5,200,1
10,6,420,1
10,7,420,1
10,8,420,1
10,9,420,1
10,10,420,1
10,11,640,1
10,12,640,0
10,13,640,1
10,14,640,0
10,15,640,0
10,16,860,0
10,17,860,0
10,18,860,0
10,19,860,0
10,20,860,0
1000,1,200,1
1000,2,200,1
1000,3,200,1
1000,4,200,1
1000,5,200,1
1000,6,420,1
1000,7,420,1
1000,8,420,1
1000,9,420,1
1000,10,420,1
1000,11,640,0
1000,12,640,0
1000,13,640,0
1000,14,640,0
1000,15,640,0
1000,16,860,0
1000,17,860,0
1000,18,860,0
1000,19,860,0
1000,20,860,0
