Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,1,1,1,420,18.791,204,1.478906e+01,-1,7,1
2,1,1,2,860,11.596,-62,5.888555e+02,1,6,1
2,1,1,3,640,4.087,103,4.130898e+02,-1,8,0
2,1,1,4,200,2.669,48,7.335938e+00,-1,7,1
2,1,1,5,860,4.354,48,5.266719e+02,-1,6,0
2,1,1,6,420,2.820,197,2.628906e+00,1,3,0
2,1,1,7,200,2.486,48,1.045312e+01,1,4,1
2,1,1,8,640,2.536,319,-2.055156e+02,-1,5,1
2,1,1,9,860,2.553,-274,5.158164e+02,-1,3,0
2,1,1,10,200,2.152,44,3.175781e+00,1,6,1
2,1,1,11,200,2.285,-32,1.230469e+00,1,2,1
2,1,1,12,420,2.203,-56,1.404297e+01,-1,3,0
2,1,1,13,640,3.370,-300,4.638984e+02,1,6,1
2,1,1,14,420,1.902,-66,-2.247773e+02,1,8,1
2,1,1,15,640,2.569,-5,3.126211e+02,1,3,1
2,1,1,16,200,2.786,99,9.046875e+00,-1,1,0
2,1,1,17,420,13.264,-138,-5.593750e+00,1,7,1
2,1,1,18,640,6.073,-2,-2.536523e+02,1,2,0
2,1,1,19,200,2.469,-96,3.820312e+00,-1,4,1
2,1,1,20,420,2.970,-29,-1.703906e+01,1,6,1
2,1,1,21,860,2.018,367,-4.455508e+02,-1,7,1
2,1,1,22,420,2.286,49,1.137773e+02,1,8,1
2,1,1,23,640,2.586,147,3.913789e+02,1,8,1
2,1,1,24,420,1.685,-106,-2.164023e+02,1,2,0
2,1,1,25,200,2.035,84,1.226562e+00,-1,2,1
2,1,1,26,200,1.935,-57,4.945312e+00,-1,1,0
2,1,1,27,420,2.286,62,-1.163281e+01,1,2,0
2,1,1,28,860,2.469,-257,-5.215820e+02,1,3,0
2,1,1,29,420,2.886,209,-1.305117e+02,-1,2,0
2,1,1,30,420,2.436,203,-2.255742e+02,-1,2,1
2,1,1,31,640,1.918,113,4.019883e+02,1,9,1
2,1,1,32,200,2.536,91,-5.500000e+00,1,8,1
2,1,1,33,860,3.170,300,-6.641289e+02,-1,6,1
2,1,1,34,420,2.102,-197,1.397656e+02,1,5,1
2,1,1,35,860,2.837,106,5.622734e+02,-1,7,0
2,1,1,36,860,2.235,-266,6.031680e+02,1,8,1
2,1,1,37,860,2.636,373,5.678164e+02,-1,5,0
