participant,precision,distance,mean_position,accuracy
1,random,close,0.01170014880952381,1
1,random,far,0.18992772601744184,0
1,uncertain,close,0.016876394166666666,1
1,uncertain,far,0.00806033097747093,0
1,certain,close,0.009374535595238095,1
1,certain,far,0.09970744658430233,0
2,random,close,0.21403279142857143,0.5
2,random,far,0.23877303597383723,0.5
2,uncertain,close,0.13357184833333333,1
2,uncertain,far,0.18066824909156978,0.5
2,certain,close,0.03233166095238095,1
2,certain,far,0.04753368372093023,0
3,random,close,0.10188151214285714,1
3,random,far,0.4013903742732558,0
3,uncertain,close,0.21164665357142856,1
3,uncertain,far,0.4091740243459302,0.5
3,certain,close,0.09111280714285715,1
3,certain,far,0.3660193531976744,1
4,random,close,0.007706938928571428,1
4,random,far,0.007947205014534884,0.5
4,uncertain,close,0.022053106071428574,1
4,uncertain,far,0.01324136239098837,0
4,certain,close,0.023540736904761904,1
4,certain,far,0.02451519949127907,0
5,random,close,0.037378160476190476,0.5
5,random,far,0.010747720675872093,0.5
5,uncertain,close,0.14983630952380952,1
5,uncertain,far,0.23135381159156976,0.5
5,certain,close,0.016927544523809523,1
5,certain,far,0.39316393531976745,0.5
6,random,close,0.02967540892857143,1
6,random,far,0.018250290697674417,0.5
6,uncertain,close,0.04862676547619048,1
6,uncertain,far,0.013586070730377906,0
6,certain,close,0.07777343452380953,1
6,certain,far,0.018937650799418605,0
7,random,close,0.3856785001190476,0.5
7,random,far,0.7533347256540697,1
7,uncertain,close,0.2099823273809524,1
7,uncertain,far,0.23048680377906977,0.5
7,certain,close,0.2905561619047619,0.5
7,certain,far,0.24061353343023253,0.5
8,random,close,0.19597933904761905,0.5
8,random,far,0.4042219749273256,0.5
8,uncertain,close,0.07748371904761905,1
8,uncertain,far,0.4775272801598837,0.5
8,certain,close,0.10728562142857143,1
8,certain,far,0.03848366206395348,0
9,random,close,0.15457263702380952,0.5
9,random,far,0.6756182122093023,0
9,uncertain,close,0.35034131190476187,0.5
9,uncertain,far,0.5888089226017442,0
9,certain,close,0.4955882892857143,1
9,certain,far,0.6832643095930233,0.5
10,random,close,0.010349702380952381,1
10,random,far,0.146854625,0
10,uncertain,close,0.024226656428571428,1
10,uncertain,far,0.40852342841569766,0.5
10,certain,close,0.28900378095238094,1
10,certain,far,0.3946781613372093,0
11,random,close,0.8001335714285714,1
11,random,far,0.7251899236918604,0.5
11,uncertain,close,0.5335589119047619,0.5
11,uncertain,far,0.18295061537063953,0.5
11,certain,close,0.1701004619047619,1
11,certain,far,0.052499245276162794,0
12,random,close,0.08627092976190476,0.5
12,random,far,0.2753431824127907,0.5
12,uncertain,close,0.2332244704761905,0.5
12,uncertain,far,0.3434530995639535,1
12,certain,close,0.34988423928571427,1
12,certain,far,0.5285617623546512,1
13,random,close,0.17826733630952382,0.5
13,random,far,0.8291299618459302,1
