Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,10,1,1,640,18.652,299,-2.832031e+00,-1,5,0
2,10,1,2,200,3.888,48,1.139453e+01,1,4,1
2,10,1,3,420,2.936,-9,1.691797e+01,-1,4,1
2,10,1,4,860,5.139,303,1.956250e+01,-1,5,0
2,1,2,1,640,3.422,-47,-1.511328e+01,1,8,1
2,1,2,2,860,2.753,425,1.108203e+01,1,6,0
2,1,2,3,200,2.385,-50,9.859375e+00,1,2,1
2,1,2,4,420,2.753,-131,-4.222656e+00,1,4,1
2,1000,3,1,860,2.576,-408,1.630078e+01,-1,5,0
2,1000,3,2,200,2.335,73,2.134375e+01,1,5,1
2,1000,3,3,420,3.487,37,2.050781e+01,-1,5,1
2,1000,3,4,640,3.003,-207,1.210938e+01,1,5,0
