Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
1,1,1,14.199,200,1,-7.593750e+00
1,1,2,4.337,640,1,-4.374609e+01
1,1,3,5.072,420,1,-3.946094e+01
1,1,3,12.898,420,2,-2.185156e+01
1,1,4,5.190,860,1,-5.085547e+01
1,1,4,6.592,860,2,-3.466797e+01
1,1,4,9.328,860,3,-4.364062e+01
1000,2,1,7.087,640,1,-3.328125e+01
1000,2,2,2.470,200,1,-2.035156e+00
1000,2,2,4.055,200,2,-1.395703e+01
1000,2,2,5.791,200,3,-3.925781e+00
1000,2,2,7.860,200,4,8.957031e+00
1000,2,2,9.028,200,5,-1.761719e+00
1000,2,3,4.923,860,1,-4.577344e+01
1000,2,4,2.737,420,1,-1.112891e+01
1000,2,4,3.888,420,2,-3.187891e+01
10,3,1,8.270,420,1,9.375000e-02
10,3,2,4.155,860,1,-7.622266e+01
10,3,2,8.744,860,2,-4.071875e+01
10,3,3,4.406,640,1,-3.157031e+01
10,3,3,8.410,640,2,-2.353906e+01
10,3,3,9.361,640,3,-3.611719e+01
10,3,3,10.496,640,4,-2.469922e+01
10,3,4,3.154,200,1,7.699219e+00
