Spread,Delta,Y_or_N,Confidence
10,420.000,0,2.661406e+02
10,860.000,0,7.391406e+02
10,640.000,1,2.961875e+02
10,200.000,1,9.523906e+02
10,860.000,0,7.362695e+02
10,420.000,1,2.639883e+02
10,200.000,1,9.471445e+02
10,640.000,0,480
1,420.000,1,2.994570e+02
1,860.000,0,8.082500e+02
1,640.000,0,7.341758e+02
1,200.000,1,9.401914e+02
1,860.000,0,8.394180e+02
1,420.000,1,480
1,200.000,1,9.464453e+02
1,640.000,0,6.907148e+02
1000,420.000,1,6.822539e+02
1000,860.000,0,7.229141e+02
1000,640.000,0,6.940742e+02
1000,200.000,1,9.465469e+02
1000,860.000,0,9.401094e+02
1000,420.000,1,6.921211e+02
1000,200.000,1,9.442422e+02
1000,640.000,0,6.778750e+02
