Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
10000,1,1,67.101,530,1,-2.780469e+01
10000,1,2,8.393,530,1,-1.957812e+01
10000,1,3,6.858,530,1,-1.554688e+01
10000,1,4,7.910,860,1,2.445312e+00
10000,1,5,2.869,200,1,-6.707031e+00
10000,1,6,3.270,365,1,-2.791406e+01
10000,1,7,6.275,695,1,7.792969e+00
10000,1,8,2.053,200,1,-4.140625e+00
10000,1,9,2.270,530,1,-3.563672e+01
10000,1,10,2.354,365,1,-1.639062e+01
10000,1,11,2.003,695,1,-2.389453e+01
10000,1,12,2.254,200,1,5.156250e-01
10000,1,13,5.157,860,1,-1.596484e+01
10000,1,14,3.555,365,1,-2.184375e+01
10000,1,15,2.521,530,1,-2.394922e+01
10000,1,15,3.589,530,2,-2.869531e+01
10000,1,16,3.655,860,1,-1.038672e+01
10000,1,17,5.958,860,1,-2.218750e+00
10000,1,18,3.689,365,1,-4.179688e+00
10000,1,19,2.521,365,1,-1.718750e+00
10000,1,20,2.621,365,1,1.292969e+00
10000,1,21,3.171,695,1,5.523438e+00
10000,1,22,1.803,365,1,-1.984375e+00
10000,1,23,1.469,530,1,-1.608594e+01
10000,1,24,2.404,530,1,-2.163281e+01
10000,1,25,2.154,365,1,-1.475000e+01
10000,1,26,1.370,200,1,-1.420703e+01
10000,1,27,2.537,695,1,-2.532031e+01
10000,1,28,2.771,695,1,-8.402344e+00
10000,1,29,1.586,365,1,-2.058594e+00
10000,1,30,2.771,860,1,-1.217578e+01
10000,1,31,2.521,530,1,-1.291406e+01
10000,1,32,1.736,695,1,-8.675781e+00
10000,1,33,2.070,365,1,-7.683594e+00
10000,1,34,1.603,200,1,-1.471484e+01
10000,1,35,1.152,365,1,-6.195312e+00
10000,1,36,2.387,530,1,-1.189844e+01
10000,1,37,2.104,860,1,-8.214844e+00
10000,1,38,1.469,200,1,-5.210938e+00
10000,1,39,2.237,695,1,-5.554688e+00
10000,1,40,1.953,200,1,-7.132812e+00
10000,1,41,1.069,695,1,4.968750e+00
10000,1,42,1.286,695,1,-1.083984e+01
10000,1,43,2.020,365,1,-7.617188e+00
10000,1,44,2.036,695,1,-1.115234e+01
10000,1,45,2.421,530,1,-6.871094e+00
10000,1,46,1.503,530,1,-1.858984e+01
10000,1,46,2.537,530,2,-8.066406e+00
10000,1,47,4.323,200,1,-1.267812e+02
10000,1,48,3.705,530,1,-2.487891e+01
10000,1,49,4.590,530,1,-1.281641e+01
10000,1,50,2.788,200,1,-1.078516e+01
10000,1,51,2.654,860,1,2.029570e+02
10000,1,52,3.655,695,1,-4.722266e+01
10000,1,53,1.286,860,1,-2.296094e+01
10000,1,54,1.670,530,1,3.138984e+02
10000,1,55,1.269,860,1,-6.005352e+02
10000,1,56,1.302,860,1,-2.466016e+01
10000,1,57,1.736,695,1,-1.110156e+01
10000,1,59,2.037,365,1,-2.242188e+00
10000,1,60,1.553,860,1,-6.632812e+00
10000,1,61,1.269,200,1,8.465234e+01
10000,1,62,2.203,365,1,-1.977734e+01
10000,1,63,2.154,860,1,-7.496094e+00
10000,1,64,1.853,200,1,-3.121094e+00
10000,1,65,1.403,695,1,-1.658984e+01
10000,1,65,2.053,695,2,-5.308594e+00
10000,1,66,1.269,200,1,-4.816406e+00
10000,1,67,1.419,200,1,-9.765625e-02
10000,1,68,1.786,860,1,-5.335312e+02
10000,1,69,1.753,200,1,-5.300781e+00
10000,1,70,1.269,530,1,-4.386719e+00
10000,1,71,2.554,860,1,-5.866211e+02
10000,1,72,3.138,860,1,-5.608047e+02
10000,1,73,1.586,365,1,1.012500e+01
10000,1,74,1.336,200,1,-8.011719e+00
10000,1,75,0.986,695,1,-3.414844e+01
1,2,1,2.479,530,1,-2.733984e+01
1,2,2,1.152,200,1,-5.203125e+00
1,2,3,1.269,365,1,-6.375000e+00
1,2,4,0.969,200,1,-2.527344e+00
1,2,6,1.336,200,1,-1.137891e+01
1,2,7,1.019,695,1,-1.802344e+01
1,2,9,0.752,200,1,-7.175781e+00
1,2,11,1.536,860,1,-1.704297e+01
1,2,12,1.252,860,1,-4.906250e+00
1,2,13,1.019,695,1,-5.183594e+00
1,2,14,1.035,200,1,-8.929688e+00
1,2,15,1.152,365,1,-1.437891e+01
1,2,16,1.236,200,1,-9.136719e+00
1,2,17,1.069,530,1,1.988281e+00
1,2,18,0.935,695,1,-2.414062e+00
1,2,19,1.169,860,1,-4.585938e+00
1,2,20,0.985,365,1,-2.195312e+00
1,2,21,1.019,530,1,-9.734375e+00
1,2,22,0.952,695,1,-1.560547e+01
1,2,23,1.286,695,1,-1.699609e+01
1,2,26,1.052,365,1,-4.117188e+00
1,2,27,0.635,860,1,-1.551953e+01
1,2,28,1.236,530,1,-3.720703e+01
1,2,29,0.952,200,1,-4.437500e+00
1,2,30,0.918,530,1,1.132812e+00
1,2,31,1.486,200,1,-8.429688e+00
1,2,32,1.236,200,1,-3.890625e+00
1,2,33,1.119,530,1,-1.711328e+01
1,2,34,2.220,530,1,5.306641e+01
1,2,35,3.338,530,1,-4.341406e+01
1,2,36,1.903,695,1,1.605430e+02
1,2,37,0.969,365,1,8.996094e+01
1,2,39,1.669,365,1,-2.210938e+01
1,2,40,1.653,365,1,-1.286719e+01
1,2,41,0.652,365,1,-3.181641e+01
1,2,42,1.686,365,1,-7.249609e+01
1,2,43,3.255,695,1,-3.334414e+02
1,2,44,1.069,200,1,-3.785156e+00
