Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,1,1,1,860,8.123,-325,-1.889766e+02,-1,6,0
2,1,1,2,860,5.689,-294,3.412305e+02,1,5,1
2,1,1,3,365,4.588,-36,-1.819922e+01,1,3,0
2,1,1,4,530,5.572,-214,-5.691797e+01,1,5,0
2,1,1,5,695,4.036,-233,-4.365781e+02,-1,2,0
2,1,1,6,200,3.351,51,-8.667969e+00,1,6,1
2,1,1,7,530,3.403,219,-2.923711e+02,1,2,0
2,1,1,8,860,6.123,-292,3.879141e+02,-1,7,0
2,1,1,9,530,2.853,149,-2.734375e+01,1,7,1
2,1,1,10,365,2.519,0,-1.532812e+01,1,4,1
2,1,1,11,695,3.604,79,-1.914062e+02,-1,7,1
2,1,1,12,860,3.070,106,4.800039e+02,1,3,0
2,1,1,13,365,2.569,179,-3.230469e+00,1,5,1
2,1,1,14,365,2.536,-157,-2.566406e+00,-1,9,1
2,1,1,15,695,2.252,-214,3.712070e+02,-1,2,0
2,1,1,16,695,3.971,-51,3.010781e+02,-1,9,0
2,1,1,17,695,2.703,173,-4.892969e+01,1,5,0
2,1,1,18,200,2.619,27,-9.468750e+00,-1,1,0
2,1,1,19,695,3.354,29,4.560586e+02,-1,8,0
2,1,1,20,860,2.502,-400,-4.046523e+02,1,3,0
2,1,1,21,695,3.287,298,-3.760586e+02,1,3,0
2,1,1,22,530,2.519,-249,-2.313594e+02,-1,3,1
2,1,1,23,365,2.219,-154,-2.328125e+01,1,3,0
2,1,1,24,200,2.119,-66,-4.832031e+00,-1,8,1
2,1,1,25,200,2.252,100,-1.279297e+01,-1,2,1
2,1,1,26,695,4.238,-62,4.126914e+02,-1,3,0
2,1,1,27,365,3.203,-165,-5.144531e+00,1,6,1
2,1,1,28,860,3.137,242,5.208711e+02,-1,6,0
2,1,1,29,200,2.252,7,1.075000e+01,-1,7,1
2,1,1,30,695,2.202,-32,-3.963750e+02,-1,2,0
2,1,1,31,200,2.335,-6,-7.667969e+00,-1,6,1
2,1,1,32,860,2.853,-35,6.164414e+02,1,4,1
2,1,1,33,860,3.020,-126,6.476328e+02,1,3,1
2,1,1,34,530,2.503,193,-2.998750e+02,1,1,0
2,1,1,35,695,3.704,-21,-3.239180e+02,1,3,0
2,1,1,36,365,2.252,89,-2.032422e+01,1,9,1
2,1,1,37,530,2.319,-212,2.406172e+02,1,8,1
2,1,1,38,200,2.202,-64,-1.351562e+00,-1,6,1
2,1,1,39,530,2.252,-195,2.712812e+02,1,6,1
2,1,1,40,200,2.119,37,-6.386719e+00,-1,3,1
2,1,1,41,200,2.603,23,-7.867188e+00,1,7,1
2,1,1,42,695,2.853,-82,4.105586e+02,1,3,1
2,1,1,43,200,2.152,29,-9.527344e+00,1,7,1
2,1,1,44,860,2.336,-282,6.192344e+02,-1,3,0
2,1,1,45,860,2.069,-331,-6.062109e+02,-1,1,0
2,1,1,46,530,2.035,16,3.521406e+02,-1,7,0
2,1,1,47,860,3.370,-3,3.106367e+02,-1,9,0
2,1,1,48,860,2.519,54,-4.477500e+02,-1,9,1
2,1,1,49,530,2.202,-84,2.821680e+02,-1,4,0
2,1,1,50,365,2.753,-39,-5.703125e+00,-1,7,1
2,1,1,51,200,2.503,-62,-1.306250e+01,1,8,1
2,1,1,52,365,2.169,73,-1.950391e+01,1,9,1
2,1,1,53,860,1.685,-326,5.322773e+02,1,7,1
2,1,1,54,530,2.068,158,3.173672e+02,-1,6,0
2,1,1,55,365,2.452,136,-1.057031e+01,-1,7,1
2,1,1,56,365,1.618,171,-1.832812e+01,-1,1,0
2,1,1,57,200,1.902,11,-1.738281e+01,1,5,1
2,1,1,58,200,2.235,-16,-1.289844e+01,1,2,1
2,1,1,59,695,3.354,188,-3.497305e+02,1,8,0
2,1,1,60,530,2.786,86,-4.650000e+01,1,9,1
2,1,1,61,695,2.168,-321,-3.750039e+02,1,5,0
2,1,1,62,695,3.220,153,-4.531445e+02,-1,1,0
2,1,1,63,365,2.168,131,-2.074961e+02,1,2,0
2,1,1,64,530,2.669,209,2.392422e+02,1,6,1
2,1,1,65,200,2.102,-87,4.460938e+00,1,6,1
2,1,1,66,530,1.668,-38,2.184297e+02,-1,8,1
2,1,1,67,365,1.918,134,-1.503125e+01,1,3,0
2,1,1,68,860,2.486,-161,4.345586e+02,-1,6,0
2,1,1,69,530,2.269,-175,-1.506094e+02,-1,2,0
2,1,1,70,860,2.486,165,3.973867e+02,1,4,0
2,1,1,71,365,1.601,-42,-9.261719e+00,1,6,1
2,1,1,72,365,1.985,-171,-1.337891e+01,-1,1,0
2,1,1,73,695,4.071,218,2.556055e+02,-1,3,0
2,1,1,74,530,2.603,249,1.726172e+02,-1,6,0
2,1,1,75,200,1.751,77,-8.636719e+00,-1,6,1
2,10000,2,1,365,3.549,133,-2.042969e+01,-1,5,1
2,10000,2,2,860,1.768,-256,5.291797e+02,1,5,1
