Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
1,1,1,1.416,200,1,-6
1,1,2,1.096,200,1,-5
1,1,3,0.816,700,1,-602
1,1,4,0.949,5.333333e+02,1,-290
1,1,5,1.044,5.333333e+02,1,-341
1,1,6,1.599,700,1,-543
1,1,7,1.217,3.666667e+02,1,-23
1,1,8,1.583,200,1,-8
1,1,9,0.850,3.666667e+02,1,-181
1,1,10,1.017,3.666667e+02,1,-274
1,1,11,0.967,5.333333e+02,1,-399
1,1,12,1.050,700,1,-21
1,2,1,1.461,200,1,-6
1,2,2,0.883,200,1,4
1,2,2,1.567,200,2,-16
1,2,2,2.000,200,3,-10
1,2,3,1.350,5.333333e+02,1,-410
1,2,4,1.716,700,1,-477
1,2,5,1.067,5.333333e+02,1,-352
1,2,6,1.350,5.333333e+02,1,-347
1,2,7,1.383,3.666667e+02,1,-24
1,2,8,1.217,3.666667e+02,1,-216
1,2,9,1.100,3.666667e+02,1,2
1,2,10,1.667,700,1,-518
1,2,11,1.200,200,1,-4
1,2,12,1.367,700,1,-513
