Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,10000,1,1,200,3.439,-70,-5,1,4,1
2,10000,1,2,3.666667e+02,2.430,-103,-33,-1,4,1
2,10000,1,3,200,1.949,64,-3,-1,4,1
2,10000,1,4,700,2.183,-204,-482,1,4,0
2,10000,1,5,5.333333e+02,1.366,-156,-336,1,4,0
2,10000,1,6,3.666667e+02,1.833,-57,-29,-1,4,1
2,10000,1,7,5.333333e+02,1.766,170,-417,-1,4,1
2,10000,1,8,700,1.716,339,-626,-1,4,1
2,10000,1,9,200,1.700,-15,-22,1,4,1
2,10000,1,10,3.666667e+02,1.883,176,-20,-1,4,1
2,10000,1,11,700,1.749,-234,-498,1,4,0
2,10000,1,12,5.333333e+02,1.733,0,-271,-1,4,1
2,1,2,1,5.333333e+02,2.253,-98,-313,1,2,0
2,1,2,2,200,1.699,48,4,1,4,1
2,1,2,3,3.666667e+02,2.899,-8,-7,-1,2,0
2,1,2,4,3.666667e+02,1.883,129,-19,-1,3,0
2,1,2,5,700,1.683,-311,-569,-1,2,1
2,1,2,6,3.666667e+02,2.266,174,-9,-1,4,1
2,1,2,7,700,1.866,180,-488,-1,3,1
2,1,2,8,5.333333e+02,2.183,85,-377,-1,2,1
2,1,2,9,200,2.116,-15,5,1,4,1
2,1,2,10,200,2.249,99,5,1,3,1
2,1,2,11,5.333333e+02,1.883,-133,-356,1,2,0
2,1,2,12,700,1.949,-219,-539,1,3,0
